epoch,chunk_id,batch,train_loss,val_loss
1,0,0,1.002675169255588,
1,0,1,0.9849616548303919,
1,0,2,0.9730228250029737,
1,0,3,0.9550729676801674,
1,0,4,0.9321123203253523,
1,0,5,0.9197582423928822,
1,0,6,0.9034347191607394,
1,0,7,0.8867132125312354,
1,0,8,0.8778764875918688,
1,0,9,0.874818615343506,
1,0,10,0.8589792592626067,
1,0,11,0.8586366917977013,
1,0,12,0.8499896410420918,
1,0,13,0.8470852641612694,
1,0,14,0.8413575025812515,
1,0,15,0.8372851652534696,
1,1,0,0.8360013057198419,
1,1,1,0.834127968691762,
1,1,2,0.8335692670908295,
1,1,3,0.832568879980571,
1,1,4,0.8331883336408077,
1,1,5,0.8322615677505594,
1,1,6,0.8311813127670159,
1,1,7,0.830059986531974,
1,1,8,0.8284975506497997,
1,1,9,0.8299633092522658,
1,1,10,0.8298266801081967,
1,1,11,0.8297038939834331,
1,1,12,0.8272818974789687,
1,1,13,0.8284546228146435,
1,1,14,0.8272341849240418,
1,1,15,0.8261823178507982,
1,2,0,0.82556523340466,
1,2,1,0.8274360187640228,
1,2,2,0.8258663223965077,
1,2,3,0.8258165535558091,
1,2,4,0.8260625812478465,
1,2,5,0.826664061323804,
1,2,6,0.8275977226806577,
1,2,7,0.8263808892229261,
1,2,8,0.8242142798365744,
1,2,9,0.8270904070779879,
1,2,10,0.8257298649008676,
1,2,11,0.8262470503854498,
1,2,12,0.8246628909129123,
1,2,13,0.8252795157592275,
1,2,14,0.8242682621270525,
1,2,15,0.8261738490258518,
1,3,0,0.8253677186011881,
1,3,1,0.825637755623787,
1,3,2,0.8263947444697974,
1,3,3,0.8252967958762133,
1,3,4,0.8267802256957489,
1,3,5,0.8263114232115952,
1,3,6,0.8246221835027143,
1,3,7,0.8249766226777897,
1,3,8,0.8247200486195312,
1,3,9,0.8247794698179574,
1,3,10,0.8248286143334793,
1,3,11,0.8275548624125229,
1,3,12,0.8249668609211195,
1,3,13,0.8251457711042928,
1,3,14,0.8246620731463337,
1,3,15,0.8264238400852112,
1,4,0,0.824375768220164,
1,4,1,0.8240803637115481,
1,4,2,0.8255894766630314,
1,4,3,0.8241265402943903,
1,4,4,0.825654773118797,
1,4,5,0.8261657353232044,
1,4,6,0.8254114161269903,
1,4,7,0.8247722119164779,
1,4,8,0.8261585787468424,
1,4,9,0.8253585276124764,
1,4,10,0.8251066761504177,
1,4,11,0.8248295132134731,
1,4,12,0.824180137773658,
1,4,13,0.825630368729404,
1,4,14,0.8253389196874532,
1,4,15,0.824065910361174,
1,5,0,0.8251657871824645,
1,5,1,0.8266462857061605,
1,5,2,0.8261570887859153,
1,5,3,0.8254162615241705,
1,5,4,0.8246961596118403,
1,5,5,0.8250102917388988,
1,5,6,0.8247085528060383,
1,5,7,0.8261014972803947,
1,5,8,0.8252249692208353,
1,5,9,0.8247853254190918,
1,5,10,0.8250091283024358,
1,5,11,0.8248584498012912,
1,5,12,0.8253848996564004,
1,5,13,0.8246717158658179,
1,5,14,0.8245185104127508,
1,5,15,0.8242646048300205,
1,6,0,0.8250575510050879,
1,6,1,0.8242603155045247,
1,6,2,0.8248137858439615,
1,6,3,0.8237566479473492,
1,6,4,0.8239804328469291,
1,6,5,0.8257844848682038,
1,6,6,0.827771273177853,
1,6,7,0.8248954070754468,
1,6,8,0.8249403587426876,
1,6,9,0.8244338804877269,
1,6,10,0.823723961463434,
1,6,11,0.8243726106010072,
1,6,12,0.8248650276874051,
1,6,13,0.8246891271424687,
1,6,14,0.8250282346021273,
1,6,15,0.8236089104297806,
1,7,0,0.8239775688018622,
1,7,1,0.8246878766030588,
1,7,2,0.8247298595124367,
1,7,3,0.8245490591196574,
1,7,4,0.8238087878247715,
1,7,5,0.8233322475464657,
1,7,6,0.8247171144281308,
1,7,7,0.8244002367761507,
1,7,8,0.8250664891357302,
1,7,9,0.8239380098987426,
1,7,10,0.8245367023992651,
1,7,11,0.8243342135299847,
1,7,12,0.8247298784419048,
1,7,13,0.8228964091426882,
1,7,14,0.8250840604160538,
1,7,15,0.8242300038561533,
1,8,0,0.8251754351372794,
1,8,1,0.8249863241548456,
1,8,2,0.8230577227083061,
1,8,3,0.8233014917560717,
1,8,4,0.8250931741167788,
1,8,5,0.8230725609098972,
1,8,6,0.8241878743170197,
1,8,7,0.824607064428128,
1,8,8,0.8254097999983308,
1,8,9,0.8224271353918906,
1,8,10,0.8230678979678077,
1,8,11,0.823314034269075,
1,8,12,0.8232690372353563,
1,8,13,0.824154514023957,
1,8,14,0.8233269177489977,
1,8,15,0.8251097414307209,
1,9,0,0.824984245345487,
1,9,1,0.8247603531087221,
1,9,2,0.8246393496408442,
1,9,3,0.8234379825309108,
1,9,4,0.8236893562019769,
1,9,5,0.8228424552220244,
1,9,6,0.8242309562962142,
1,9,7,0.8231865211355496,
1,9,8,0.825799061593794,
1,9,9,0.8247565105007406,
1,9,10,0.8242270105559781,
1,9,11,0.8254396195238312,
1,9,12,0.8260480800620603,
1,9,13,0.825371176399185,
1,9,14,0.8248860245336481,
1,9,15,0.8247335885252596,
1,10,0,0.8232211635661483,
1,10,1,0.8227074357075204,
1,10,2,0.8225894644265423,
1,10,3,0.8219373422819667,
1,10,4,0.8220139038235417,
1,10,5,0.8229089384588604,
1,10,6,0.8208034281263681,
1,10,7,0.8214161177960355,
1,10,8,0.8229170160411529,
1,10,9,0.8214654683762614,
1,10,10,0.8195821022586905,
1,10,11,0.820939924994434,
1,10,12,0.819562009420014,
1,10,13,0.819148010878435,
1,10,14,0.819976702839336,
1,10,15,0.8186257753879742,
1,11,0,0.8109998763681765,
1,11,1,0.8137890159133048,
1,11,2,0.8078143156785949,
1,11,3,0.804405502214348,
1,11,4,0.8022335925216788,
1,11,5,0.796755134129937,
1,11,6,0.799166389239725,
1,11,7,0.7885842141136938,
1,11,8,0.7912311529676261,
1,11,9,0.7843422085670876,
1,11,10,0.7739474187317146,
1,11,11,0.7765183466549808,
1,11,12,0.7743787040646628,
1,11,13,0.7642520974101097,
1,11,14,0.76410657209079,
1,11,15,0.7674511962304444,
1,12,0,0.7793253491493941,
1,12,1,0.7642241448064868,
1,12,2,0.7730452653403211,
1,12,3,0.772621177936524,
1,12,4,0.7574100700427773,
1,12,5,0.7601485702172737,
1,12,6,0.7593994765671271,
1,12,7,0.7458934750469927,
1,12,8,0.7508348066624775,
1,12,9,0.7590501091398321,
1,12,10,0.7503460404094455,
1,12,11,0.7521572561669114,
1,12,12,0.7538377273700505,
1,12,13,0.7572643601475756,
1,12,14,0.7386178344607758,
1,12,15,0.7482291040341738,
1,13,0,0.7568772523033529,
1,13,1,0.7401251242762563,
1,13,2,0.7512977603982955,
1,13,3,0.7491095275950816,
1,13,4,0.7405244748946576,
1,13,5,0.7306839575951988,
1,13,6,0.7379371702546178,
1,13,7,0.7346702344659861,
1,13,8,0.7324051302445147,
1,13,9,0.7304078403642744,
1,13,10,0.7151861427630763,
1,13,11,0.7245223289386052,
1,13,12,0.7324259469398116,
1,13,13,0.7356799757276996,
1,13,14,0.7401444366760579,
1,13,15,0.7110595763830971,
1,14,0,0.8247840768155494,
1,14,1,0.8127619384782934,
1,14,2,0.8168428748484453,
1,14,3,0.8114396263269472,
1,14,4,0.8139914086773857,
1,14,5,0.8085521267505452,
1,14,6,0.8143967203375855,
1,14,7,0.8089458283057048,
1,14,8,0.8089683945556425,
1,14,9,0.8067180121379921,
1,14,10,0.8059828556766522,
1,14,11,0.8112458653363208,
1,14,12,0.8037885989330968,
1,14,13,0.8088745912189541,
1,14,14,0.8056448527772475,
1,14,15,0.8138099075634327,
1,15,0,0.8225926418082403,
1,15,1,0.8197227771841182,
1,15,2,0.8220997132552342,
1,15,3,0.8248247791167138,
1,15,4,0.8210186881016457,
1,15,5,0.8238894195697979,
1,15,6,0.8249688011748986,
1,15,7,0.8223865171718125,
1,15,8,0.8221770731456287,
1,15,9,0.8185579509752472,
1,15,10,0.8194039632270367,
1,15,11,0.8189809491556954,
1,15,12,0.8202880254625853,
1,15,13,0.8227045660276828,
1,15,14,0.8202974957730977,
1,15,15,0.8200230682177609,
1,16,0,0.7203138760616706,
1,16,1,0.7231860740791011,
1,16,2,0.7154087546231669,
1,16,3,0.7379853644515623,
1,16,4,0.7199874761772569,
1,16,5,0.7178739456263309,
1,16,6,0.7150234050940403,
1,16,7,0.7116209429775813,
1,16,8,0.7182025472967666,
1,16,9,0.7037920042246423,
1,16,10,0.7003862322069356,
1,16,11,0.6851948936564809,
1,16,12,0.6949107028750809,
1,16,13,0.6910645592683763,
1,16,14,0.686705641532538,
1,16,15,0.6901819589569258,
1,17,0,0.8125065377120984,
1,17,1,0.8104278945300016,
1,17,2,0.8088299010533755,
1,17,3,0.798282346859789,
1,17,4,0.8004665186732922,
1,17,5,0.8024035425204518,
1,17,6,0.7953956273021228,
1,17,7,0.7974769591014497,
1,17,8,0.793141857553705,
1,17,9,0.793159188634668,
1,17,10,0.790045219984439,
1,17,11,0.7815190351838721,
1,17,12,0.7902794670026954,
1,17,13,0.7911159111355845,
1,17,14,0.7820029434762521,
1,17,15,0.7807718197168941,
1,18,0,0.8344673164711585,
1,18,1,0.8356415915559348,
1,18,2,0.8317070812201244,
1,18,3,0.8301449820455307,
1,18,4,0.8277604930446549,
1,18,5,0.8230285351518059,
1,18,6,0.8250903415237235,
1,18,7,0.8249484708317805,
1,18,8,0.8249065311503292,
1,18,9,0.8271440179454818,
1,18,10,0.8251842690481729,
1,18,11,0.8232897077525695,
1,18,12,0.8240195911121067,
1,18,13,0.8258146195183163,
1,18,14,0.8246470769108942,
1,18,15,0.8237071052310266,
1,19,0,0.8246219437801299,
1,19,1,0.8237225214911007,
1,19,2,0.8245317615213811,
1,19,3,0.8235791748101642,
1,19,4,0.8231151023906876,
1,19,5,0.8237003464813714,
1,19,6,0.8226087800174788,
1,19,7,0.8241372026682023,
1,19,8,0.8220535435986908,
1,19,9,0.8243041989651332,
1,19,10,0.8235526102498218,
1,19,11,0.8234765157247833,
1,19,12,0.8214573707073667,
