epoch,batch,loss
1,320,0.8268259170372085
2,320,0.8085106835849475
3,320,0.7872581949087217
4,320,0.7767982358562902
5,320,0.7613950437009092
6,320,0.7298294569826675
7,320,0.7039466015627731
8,320,0.6756360244216515
9,320,0.6496259225465548
10,320,0.6290924257465546
11,320,0.6183903070976731
12,320,0.6102590589964855
13,320,0.6034430533743526
14,320,0.5996055465632002
15,320,0.5959838131768839
16,320,0.5925506212977779
17,320,0.587323736707641
18,320,0.5845579371940136
19,320,0.5827732736090216
20,320,0.5789266220713746
21,320,0.5786359437727371
22,320,0.5782896785345354
23,320,0.5749521638536419
24,320,0.5726792574309655
25,320,0.5711215869349241
26,320,0.5720461232723324
27,320,0.5710889221668353
28,320,0.5664294565332442
29,320,0.5683531120571547
30,320,0.5665678899063782
31,320,0.5666551804532093
32,320,0.5636904238589189
33,320,0.5645108433167416
34,320,0.5621113157237703
35,320,0.5615767275658194
36,320,0.5588034906363565
37,320,0.5601632946771308
38,320,0.5599791816447506
39,320,0.5600354818778228
40,320,0.5570219390969771
41,320,0.557444996874713
42,320,0.5560077435681252
43,320,0.5544087513287794
44,320,0.5547554654180928
45,320,0.5525978143560539
46,320,0.5533989599995379
47,320,0.5523906070085987
48,320,0.5508421709144502
49,320,0.5510754232613118
50,320,0.5503469731853675
51,320,0.5507975188448461
52,320,0.548715655118156
53,320,0.5486985554959033
54,320,0.54710282659695
55,320,0.5469682296491561
56,320,0.5468322263524454
57,320,0.5467674451384761
58,320,0.5460748298982951
59,320,0.5451581635522345
60,320,0.5449641374441789
61,320,0.5436967407328213
62,320,0.5443018514945349
63,320,0.5439174196916905
64,320,0.5430906080680586
65,320,0.540477136928252
66,320,0.5404213105193036
67,320,0.5428411720406215
68,320,0.5406023099963289
69,320,0.5406383266446037
70,320,0.5405353248125546
71,320,0.5393136185460852
72,320,0.5369409873425297
73,320,0.5370952551398853
74,320,0.5362567755797553
75,320,0.5361366381077797
76,320,0.5368532031534552
77,320,0.5355008632725753
78,320,0.5347531138922554
79,320,0.5346618583650494
80,320,0.5333265581978008
81,320,0.536049071602404
82,320,0.5302020635432345
83,320,0.5311835732790768
84,320,0.5307719662700698
85,320,0.5296198492255837
86,320,0.5246568777992444
87,320,0.5228538688993067
88,320,0.5209905812848316
89,320,0.5187265815838231
90,320,0.517553869522377
91,320,0.5176593940011764
92,320,0.5147960081887017
93,320,0.5111353472615208
94,320,0.5098717102022804
95,320,0.5051659557157676
96,320,0.49800630231145016
97,320,0.492729842180316
98,320,0.4913099329445362
99,320,0.4850550694407416
100,320,0.4831313182650973
