epoch,batch,loss
1,313,0.9468979241481087
2,313,0.9287896120339454
3,313,0.924341399272604
4,313,0.9227949928886068
5,313,0.9219900137375361
6,313,0.9218530154967262
7,313,0.9212764373274976
8,313,0.9209754265585675
9,313,0.9206173082481238
10,313,0.9207038612854501
11,313,0.9204516641481468
12,313,0.9199451434777081
13,313,0.918436971632137
14,313,0.9141577178891929
15,313,0.9138064528990791
16,313,0.9128307229374063
17,313,0.9126879610604733
18,313,0.9129735505691227
19,313,0.9124558887229304
20,313,0.9123010601593468
21,313,0.9122784961217905
22,313,0.9118341710474495
23,313,0.911780835210449
24,313,0.9119163783179304
25,313,0.9120107225525238
26,313,0.9117444428748592
27,313,0.9113341603246958
28,313,0.9113422567190708
29,313,0.9103536004617993
30,313,0.9106484702980098
31,313,0.9101778051454479
32,313,0.9100698185318633
33,313,0.9089489048946193
34,313,0.9096537747241228
35,313,0.9090036367469544
36,313,0.9092004229056574
37,313,0.9085281649376803
38,313,0.908210963126402
39,313,0.9079253241443902
40,313,0.9072055340692755
41,313,0.9070891467259793
42,313,0.9063883557723613
43,313,0.9057884878759007
44,313,0.9051811620419691
45,313,0.9051590721848455
46,313,0.9047484651777004
47,313,0.9037266843126347
48,313,0.9023767077701861
49,313,0.9020553256063066
50,313,0.9014326612085174
51,313,0.9008903351675808
52,313,0.900345081778505
53,313,0.9005671183252429
54,313,0.9003612061576627
55,313,0.9002405772041484
56,313,0.8998759418003603
57,313,0.8994005269801645
58,313,0.8990625077533351
59,313,0.8995753147860173
60,313,0.8989803740920422
61,313,0.8987367762389425
62,313,0.8985884665572532
63,313,0.8988274931677095
64,313,0.898009054654155
65,313,0.8977440063837623
66,313,0.8975536226554557
67,313,0.8971765449516635
68,313,0.8975723963695267
69,313,0.8966881402094407
70,313,0.8961551042143037
71,313,0.8952375347116194
72,313,0.8949449288756846
73,313,0.8950714653631593
74,313,0.894420700215699
75,313,0.894191755332803
76,313,0.894335572895359
77,313,0.8940454062407233
78,313,0.8938484719137291
79,313,0.8930322813634644
80,313,0.8928053164634854
81,313,0.8928603089715584
82,313,0.8926895436425206
83,313,0.892039505866955
84,313,0.8920438090026045
85,313,0.892714092337935
86,313,0.8912264689101891
87,313,0.8909428704955726
88,313,0.8907219257650845
89,313,0.8906886308703997
90,313,0.8901258946034557
91,313,0.8896320849934374
92,313,0.8902739192755881
93,313,0.889124850509902
94,313,0.8890299471334383
95,313,0.8900047254878829
96,313,0.8896282987306241
97,313,0.8882887299964759
98,313,0.8885774820761431
99,313,0.8882791402621595
100,313,0.888071268611235
