epoch,train_time_s,val_time_s,total_time_s
1,181.96940684318542,8.2542142868042,190.2243230342865
2,181.70917510986328,8.262720346450806,189.97553491592407
3,181.89542818069458,8.263919830322266,190.1597318649292
4,181.8408420085907,8.248886108398438,190.09048509597778
5,181.88134813308716,8.271960020065308,190.15402126312256
6,181.84300446510315,8.244641304016113,190.0884120464325
7,181.94441723823547,8.277396440505981,190.22242069244385
8,181.8811137676239,8.27363395690918,190.155522108078
9,181.90633964538574,8.300023555755615,190.20693397521973
10,181.8330478668213,8.306536674499512,190.14053225517273
11,181.90035843849182,8.268569946289062,190.1697850227356
12,181.80698776245117,8.268470525741577,190.0766303539276
13,181.88019156455994,8.260018825531006,190.1408724784851
14,181.78971552848816,8.25549864768982,190.0459747314453
15,181.90813541412354,8.275258541107178,190.1840410232544
16,181.85887503623962,8.255749940872192,190.11539506912231
17,181.81137681007385,8.343766212463379,190.1559751033783
18,181.79268169403076,8.26214075088501,190.05547618865967
19,181.81542682647705,8.273149013519287,190.08932518959045
20,181.88679480552673,8.262350797653198,190.14999842643738
21,181.78508710861206,8.282909631729126,190.06863474845886
22,181.87890028953552,8.273353099822998,190.15329885482788
23,181.81428456306458,8.262403964996338,190.07727646827698
24,181.9310803413391,8.255919218063354,190.18772912025452
25,181.7905411720276,8.31555986404419,190.10739970207214
26,181.8827567100525,8.282872438430786,190.1666259765625
27,181.8215684890747,8.277237176895142,190.09943437576294
28,181.8855059146881,8.278453350067139,190.1647310256958
29,181.84949946403503,8.267749309539795,190.11839699745178
30,181.91157793998718,8.299798965454102,190.21205472946167
31,181.8373806476593,8.276253461837769,190.1142406463623
32,181.89652061462402,8.26177978515625,190.15903735160828
33,181.82360100746155,8.25193977355957,190.07616662979126
34,181.82683968544006,8.352343082427979,190.18001675605774
35,181.8291938304901,8.312017440795898,190.14179754257202
36,181.81834745407104,8.256117343902588,190.07517790794373
37,181.89116311073303,8.302066802978516,190.19388246536255
38,181.84784650802612,8.258508920669556,190.10703086853027
39,181.9136242866516,8.27262020111084,190.18685030937195
40,181.81288266181946,8.290945768356323,190.10465836524963
41,181.8923704624176,8.282279014587402,190.17529821395874
42,181.84205794334412,8.282335042953491,190.12507343292236
43,181.90362811088562,8.279052257537842,190.1836404800415
44,181.81509590148926,8.28710126876831,190.10294675827026
45,181.8925895690918,8.27217984199524,190.16565346717834
46,181.85424613952637,8.29708743095398,190.1520631313324
47,181.8724000453949,8.274306297302246,190.14733576774597
48,181.81297898292542,8.253356695175171,190.06703233718872
49,181.85771107673645,8.28020691871643,190.13887429237366
50,181.7814438343048,8.301404476165771,190.08365488052368
51,181.80781316757202,8.276013612747192,190.08470702171326
52,181.9024908542633,8.275563716888428,190.17880129814148
53,181.79771423339844,8.265376806259155,190.06406569480896
54,181.87101793289185,8.30039381980896,190.17271947860718
55,181.802836894989,8.265148878097534,190.0685875415802
56,181.8929407596588,8.265419006347656,190.15915203094482
57,181.76648902893066,8.272210836410522,190.03935289382935
58,181.862069606781,8.264991521835327,190.1277391910553
59,181.84065508842468,8.260210037231445,190.10149502754211
60,181.92298650741577,8.276597023010254,190.2003948688507
61,181.7817244529724,8.275285720825195,190.0576012134552
62,181.88861346244812,8.282632112503052,190.17190170288086
63,181.74399256706238,8.293473243713379,190.03815984725952
64,181.83894777297974,8.267525434494019,190.10723114013672
65,181.74986004829407,8.304752826690674,190.0552306175232
66,181.81616687774658,8.282026529312134,190.09924411773682
67,181.77593779563904,8.283012628555298,190.05956864356995
68,181.84689664840698,8.295642375946045,190.1432385444641
69,181.72267866134644,8.307341575622559,190.0306270122528
70,181.76421666145325,8.371347188949585,190.13629913330078
71,182.09629774093628,8.309338808059692,190.40644431114197
72,181.80451822280884,8.280110120773315,190.08540415763855
73,181.85035872459412,8.285995721817017,190.13701844215393
74,181.74660229682922,8.268833637237549,190.0163230895996
75,181.850909948349,8.289843082427979,190.14147233963013
76,181.74934029579163,8.277589321136475,190.02861833572388
77,181.79904770851135,8.276450872421265,190.07624888420105
78,181.73358178138733,8.274762868881226,190.00902915000916
79,181.77332401275635,8.243301391601562,190.01718044281006
80,181.71613097190857,8.26962947845459,189.9864161014557
81,181.78890109062195,8.27883243560791,190.06840014457703
82,181.68519639968872,8.271245002746582,189.95719838142395
83,181.79405808448792,8.293606281280518,190.08864283561707
84,181.7074556350708,8.298945665359497,190.00713300704956
85,181.81386637687683,8.280352592468262,190.09482789039612
86,182.22832012176514,8.264675378799438,190.49373197555542
87,181.80195808410645,8.261476039886475,190.06395983695984
88,181.73206973075867,8.278646469116211,190.01186633110046
89,181.76243424415588,8.338968276977539,190.10207343101501
90,181.7453351020813,8.26965880393982,190.0156581401825
91,181.74192762374878,8.277445554733276,190.02003264427185
92,181.8060326576233,8.26386046409607,190.07079982757568
93,181.7066478729248,8.26947021484375,189.9767508506775
94,181.80318307876587,8.296336889266968,190.1002197265625
95,181.7140429019928,8.268967628479004,189.98366236686707
96,181.82078576087952,8.26546335220337,190.08692741394043
97,181.75288128852844,8.28622317314148,190.0396764278412
98,181.8162899017334,8.27927279472351,190.09631395339966
99,181.72925972938538,8.281707048416138,190.01157689094543
100,181.8033802509308,8.279399156570435,190.08350896835327
