epoch,current_mb,peak_mb
1,99.168768,6236.877312
2,99.168768,6236.877312
3,99.168768,6236.877312
4,99.168768,6236.877312
5,99.168768,6236.877312
6,99.168768,6236.877312
7,99.168768,6236.877312
8,99.168768,6236.877312
9,99.168768,6236.877312
10,99.168768,6236.877312
11,99.168768,6236.877312
12,99.168768,6236.877312
13,99.168768,6236.877312
14,99.168768,6236.877312
15,99.168768,6236.877312
16,99.168768,6236.877312
17,99.168768,6236.877312
18,99.168768,6236.877312
19,99.168768,6236.877312
20,99.168768,6236.877312
21,99.168768,6236.877312
22,99.168768,6236.877312
23,99.168768,6236.877312
24,99.168768,6236.877312
25,99.168768,6236.877312
26,99.168768,6236.877312
27,99.168768,6236.877312
28,99.168768,6236.877312
29,99.168768,6236.877312
30,99.168768,6236.877312
31,99.168768,6236.877312
32,99.168768,6236.877312
33,99.168768,6236.877312
34,99.168768,6236.877312
35,99.168768,6236.877312
36,99.168768,6236.877312
37,99.168768,6236.877312
38,99.168768,6236.877312
39,99.168768,6236.877312
40,99.168768,6236.877312
41,99.168768,6236.877312
42,99.168768,6236.877312
43,99.168768,6236.877312
44,99.168768,6236.877312
45,99.168768,6236.877312
46,99.168768,6236.877312
47,99.168768,6236.877312
48,99.168768,6236.877312
49,99.168768,6236.877312
50,99.168768,6236.877312
51,99.168768,6236.877312
52,99.168768,6236.877312
53,99.168768,6236.877312
54,99.168768,6236.877312
55,99.168768,6236.877312
56,99.168768,6236.877312
57,99.168768,6236.877312
58,99.168768,6236.877312
59,99.168768,6236.877312
60,99.168768,6236.877312
61,99.168768,6236.877312
62,99.168768,6236.877312
63,99.168768,6236.877312
64,99.168768,6236.877312
65,99.168768,6236.877312
66,99.168768,6236.877312
67,99.168768,6236.877312
68,99.168768,6236.877312
69,99.168768,6236.877312
70,99.168768,6236.877312
71,99.168768,6236.877312
72,99.168768,6236.877312
73,99.168768,6236.877312
74,99.168768,6236.877312
75,99.168768,6236.877312
76,99.168768,6236.877312
77,99.168768,6236.877312
78,99.168768,6236.877312
79,99.168768,6236.877312
80,99.168768,6236.877312
81,99.168768,6236.877312
82,99.168768,6236.877312
83,99.168768,6236.877312
84,99.168768,6236.877312
85,99.168768,6236.877312
86,99.168768,6236.877312
87,99.168768,6236.877312
88,99.168768,6236.877312
89,99.168768,6236.877312
90,99.168768,6236.877312
91,99.168768,6236.877312
92,99.168768,6236.877312
93,99.168768,6236.877312
94,99.168768,6236.877312
95,99.168768,6236.877312
96,99.168768,6236.877312
97,99.168768,6236.877312
98,99.168768,6236.877312
99,99.168768,6236.877312
100,99.168768,6236.877312
