epoch,current_mb,peak_mb
1,472.295936,5127.5392
2,472.295936,5127.5392
3,472.295936,5127.5392
4,472.295936,5127.5392
5,472.295936,5127.5392
6,472.295936,5127.5392
7,472.295936,5127.5392
8,472.295936,5127.5392
9,472.295936,5127.5392
10,472.295936,5127.5392
11,472.295936,5127.5392
12,472.295936,5127.5392
13,472.295936,5127.5392
14,472.295936,5127.5392
15,472.295936,5127.5392
16,472.295936,5127.5392
17,472.295936,5127.5392
18,472.295936,5127.5392
19,472.295936,5127.5392
20,472.295936,5127.5392
21,472.295936,5127.5392
22,472.295936,5127.5392
23,472.295936,5127.5392
24,472.295936,5127.5392
25,472.295936,5127.5392
26,472.295936,5127.5392
27,472.295936,5127.5392
28,472.295936,5127.5392
29,472.295936,5127.5392
30,472.295936,5127.5392
31,472.295936,5127.5392
32,472.295936,5127.5392
33,472.295936,5127.5392
34,472.295936,5127.5392
35,472.295936,5127.5392
36,472.295936,5127.5392
37,472.295936,5127.5392
38,472.295936,5127.5392
39,472.295936,5127.5392
40,472.295936,5127.5392
41,472.295936,5127.5392
42,472.295936,5127.5392
43,472.295936,5127.5392
44,472.295936,5127.5392
45,472.295936,5127.5392
46,472.295936,5127.5392
47,472.295936,5127.5392
48,472.295936,5127.5392
49,472.295936,5127.5392
50,472.295936,5127.5392
51,472.295936,5127.5392
52,472.295936,5127.5392
53,472.295936,5127.5392
54,472.295936,5127.5392
55,472.295936,5127.5392
56,472.295936,5127.5392
57,472.295936,5127.5392
58,472.295936,5127.5392
59,472.295936,5127.5392
60,472.295936,5127.5392
61,472.295936,5127.5392
62,472.295936,5127.5392
63,472.295936,5127.5392
64,472.295936,5127.5392
65,472.295936,5127.5392
66,472.295936,5127.5392
67,472.295936,5127.5392
68,472.295936,5127.5392
69,472.295936,5127.5392
70,472.295936,5127.5392
71,472.295936,5127.5392
72,472.295936,5127.5392
73,472.295936,5127.5392
74,472.295936,5127.5392
75,472.295936,5127.5392
76,472.295936,5127.5392
77,472.295936,5127.5392
78,472.295936,5127.5392
79,472.295936,5127.5392
80,472.295936,5127.5392
81,472.295936,5127.5392
82,472.295936,5127.5392
83,472.295936,5127.5392
84,472.295936,5127.5392
85,472.295936,5127.5392
86,472.295936,5127.5392
87,472.295936,5127.5392
88,472.295936,5127.5392
89,472.295936,5127.5392
90,472.295936,5127.5392
91,472.295936,5127.5392
92,472.295936,5127.5392
93,472.295936,5127.5392
94,472.295936,5127.5392
95,472.295936,5127.5392
96,472.295936,5127.5392
97,472.295936,5127.5392
98,472.295936,5127.5392
99,472.295936,5127.5392
100,472.295936,5127.5392
