epoch,train_time_s,val_time_s,total_time_s
1,429.44627594947815,19.7251033782959,449.17157888412476
2,430.0310182571411,19.629932641983032,449.6611487865448
3,430.0516357421875,19.641799926757812,449.69360184669495
4,429.84866547584534,19.64310359954834,449.4919412136078
5,429.97688722610474,19.634668111801147,449.6117310523987
6,429.8585014343262,19.62937307357788,449.48804569244385
7,430.45072078704834,19.64473557472229,450.09564328193665
8,430.4358489513397,19.639827489852905,450.0758421421051
9,430.5585672855377,19.723062992095947,450.2817988395691
10,430.03391098976135,19.650226354599,449.68430161476135
11,430.4691300392151,19.65066933631897,450.11996579170227
12,429.9262726306915,19.6226704120636,449.5491044521332
13,429.95876002311707,19.658480882644653,449.6173765659332
14,429.8392231464386,19.666558265686035,449.50594782829285
15,429.89805912971497,19.752898693084717,449.65113973617554
16,429.88926577568054,19.66707134246826,449.55650997161865
17,429.82376646995544,19.629732608795166,449.4536237716675
18,429.9538197517395,19.630503177642822,449.58448672294617
19,429.82603883743286,19.645698070526123,449.47190833091736
20,429.9822664260864,19.648967742919922,449.63136649131775
21,429.83582735061646,19.621663093566895,449.4576413631439
22,430.2687358856201,19.706397533416748,449.9753134250641
23,430.3032319545746,19.660273551940918,449.9636335372925
24,430.29306387901306,19.668346643447876,449.96155643463135
25,430.4082655906677,19.732308864593506,450.1407072544098
26,430.64677810668945,19.68709659576416,450.33404874801636
27,430.0264961719513,19.637011528015137,449.66361904144287
28,429.85446190834045,19.657460689544678,449.51210260391235
29,429.88107419013977,19.6498544216156,449.5310561656952
30,429.77330493927,19.761783599853516,449.5352532863617
31,429.8704240322113,19.676634311676025,449.5472071170807
32,430.281357049942,19.67720365524292,449.9587073326111
33,430.69519686698914,19.664839029312134,450.3601634502411
34,430.62686491012573,19.66908288002014,450.29611325263977
35,430.70965027809143,19.70027446746826,450.4100561141968
36,430.5427658557892,19.743355751037598,450.28626585006714
37,430.78446197509766,19.656349420547485,450.4409444332123
38,430.36290764808655,19.70095443725586,450.0640015602112
39,430.57763743400574,19.766339778900146,450.34415793418884
40,430.3199701309204,19.757912635803223,450.07806634902954
41,430.50845766067505,19.66049838066101,450.16912269592285
42,430.0192651748657,19.674415349960327,449.6938433647156
43,429.9696009159088,19.62421703338623,449.5939691066742
44,429.8644223213196,19.647491693496704,449.5120415687561
45,429.8814766407013,19.75676727294922,449.6384105682373
46,429.88697576522827,19.646262645721436,449.5333573818207
47,429.8839542865753,19.622252464294434,449.506334066391
48,429.97863602638245,19.642467975616455,449.6212327480316
49,429.83680748939514,19.65215492248535,449.4891285896301
50,429.8937439918518,19.662041187286377,449.5559239387512
51,429.7744371891022,19.652897357940674,449.4274899959564
52,430.1832630634308,19.68208909034729,449.86551690101624
53,430.44824624061584,19.76223635673523,450.210631608963
54,430.4198615550995,19.710742712020874,450.130752325058
55,430.1579110622406,19.731496334075928,449.8896601200104
56,430.5721356868744,19.658400535583496,450.2306830883026
57,430.3921585083008,19.64728546142578,450.0396091938019
58,430.40958046913147,19.654155015945435,450.06386280059814
59,430.5322754383087,19.64673399925232,450.1791479587555
60,430.6536087989807,19.79923439025879,450.45297718048096
61,430.24700355529785,19.680269956588745,449.92742681503296
62,430.2617492675781,19.668362379074097,449.93024158477783
63,430.1124036312103,19.632509469985962,449.7450428009033
64,430.0422115325928,19.65592122077942,449.6982626914978
65,429.9237368106842,19.640389919281006,449.56425404548645
66,429.8696892261505,19.65101170539856,449.52086448669434
67,429.96077513694763,19.648621082305908,449.60953164100647
68,429.86478877067566,19.65270709991455,449.51762223243713
69,429.87455582618713,19.626386165618896,449.5011057853699
70,429.8566884994507,19.657913208007812,449.5147225856781
71,429.9606213569641,19.637085914611816,449.5978751182556
72,429.84620332717896,19.653513431549072,449.4998505115509
73,430.3747868537903,19.719624996185303,450.09453773498535
74,430.348797082901,19.75119662284851,450.10014510154724
75,430.34658646583557,19.797118425369263,450.1438398361206
76,430.47259044647217,19.69563603401184,450.1683511734009
77,430.22896003723145,19.693845510482788,449.92294669151306
78,430.438814163208,19.747576475143433,450.1865110397339
79,430.4673500061035,19.734830617904663,450.2023549079895
80,430.475923538208,19.68268585205078,450.1587872505188
81,430.12930250167847,19.70093536376953,449.8303852081299
82,430.2748317718506,19.64115071296692,449.9161100387573
83,429.94318985939026,19.670355796813965,449.61370277404785
84,430.0851788520813,19.63473892211914,449.72004747390747
85,429.8334844112396,19.64260983467102,449.47622203826904
86,429.99546694755554,19.646756887435913,449.6423451900482
87,429.88932275772095,19.65621590614319,449.54570055007935
88,430.01171231269836,19.66904592514038,449.68089723587036
89,429.8523256778717,19.696638822555542,449.54909110069275
90,429.96951603889465,19.744213581085205,449.7138798236847
91,429.84127712249756,19.638182640075684,449.4796221256256
92,429.9712281227112,19.753859281539917,449.7252299785614
93,430.3684275150299,19.738502740859985,450.1070945262909
94,430.44913053512573,19.692555904388428,450.1418650150299
95,430.3271405696869,19.674068927764893,450.0013496875763
96,430.54345178604126,19.78461503982544,450.32825565338135
97,430.7030944824219,19.670572757720947,450.37394309043884
98,430.6883625984192,19.750510454177856,450.4390404224396
99,430.2420029640198,19.74348282814026,449.98562598228455
100,430.4200174808502,19.69826865196228,450.11847400665283
