epoch,batch,loss
1,320,0.825439396164243
2,320,0.8033812534141344
3,320,0.7512911619829691
4,320,0.7126195344512332
5,320,0.6831700021616102
6,320,0.665008745772761
7,320,0.6522957078082601
8,320,0.6424219573704709
9,320,0.6324472007200275
10,320,0.6261239795508575
11,320,0.6198787837603947
12,320,0.6154551888999782
13,320,0.6093481147960862
14,320,0.605770446927064
15,320,0.6017161254635541
16,320,0.60012141990857
17,320,0.5981363858975846
18,320,0.5921627664538385
19,320,0.5904485102946838
20,320,0.5878383510191423
21,320,0.5877881807285025
22,320,0.5840987260541081
23,320,0.5827519831689264
24,320,0.583563588658673
25,320,0.5802497581845729
26,320,0.5794496082760474
27,320,0.5751732484405817
28,320,0.5738393166355935
29,320,0.5724463553547536
30,320,0.5742554279989771
31,320,0.5717704649570392
32,320,0.569934603678546
33,320,0.5703007718296321
34,320,0.5674354983079035
35,320,0.5683550233714605
36,320,0.5664575418856074
37,320,0.5659831233042338
38,320,0.5644686582864984
39,320,0.5638339650021382
40,320,0.5609463229271832
41,320,0.560431859132274
42,320,0.5608238291350843
43,320,0.5599908726458214
44,320,0.5586571169072753
45,320,0.5597048314106787
46,320,0.5585052000411393
47,320,0.5573457501814547
48,320,0.558050241461268
49,320,0.5546506023016395
50,320,0.5548670815386434
51,320,0.5556467912756176
52,320,0.5545726415181026
53,320,0.5518233697120309
54,320,0.5528000298048001
55,320,0.5516648500556338
56,320,0.5505449682649871
57,320,0.5520907589296606
58,320,0.5502566401207467
59,320,0.5491155144671211
60,320,0.5482469822007486
61,320,0.5477610798235939
62,320,0.5471312561419072
63,320,0.5476993047922978
64,320,0.5456366101613098
65,320,0.5456607634670546
66,320,0.5452555098440957
67,320,0.5448361358369713
68,320,0.542558947494076
69,320,0.5410741158222437
70,320,0.5399554900397613
71,320,0.5420617538582986
72,320,0.541130834527625
73,320,0.540003126851602
74,320,0.5382059567555294
75,320,0.5396948462801108
76,320,0.5378382296502401
77,320,0.5394161552176319
78,320,0.5386242856886337
79,320,0.5369713955258133
80,320,0.5356198703436851
81,320,0.535347334459296
82,320,0.5345983340389803
83,320,0.5336585104159712
84,320,0.5328039636882373
85,320,0.5340114791728859
86,320,0.5332397350126878
87,320,0.5321441573208918
88,320,0.5321459276618545
89,320,0.5295278919090871
90,320,0.5299162621171375
91,320,0.5293063199720572
92,320,0.5290778885133253
93,320,0.5285937112463628
94,320,0.5277912582550248
95,320,0.5281716685455985
96,320,0.5248788950570252
97,320,0.5272653342682894
98,320,0.5248317335086791
99,320,0.5245200875281087
100,320,0.5265159877966875
