epoch,train_time_s,val_time_s,total_time_s
1,217.29244136810303,9.875448942184448,227.1683669090271
2,215.6680986881256,9.909571886062622,225.5784707069397
3,215.73541736602783,9.86663269996643,225.60263109207153
4,215.88472962379456,9.838210105895996,225.72368383407593
5,216.0400812625885,9.896539211273193,225.93723249435425
6,215.8685483932495,9.88285231590271,225.75206518173218
7,215.95846724510193,9.901235103607178,225.8602991104126
8,216.00667190551758,9.879776954650879,225.88723707199097
9,215.97420454025269,9.884641408920288,225.8592963218689
10,215.81725311279297,9.912129640579224,225.73007678985596
11,216.00184273719788,9.868644952774048,225.87117910385132
12,215.88226437568665,9.86693000793457,225.7498700618744
13,215.94269800186157,9.886882543563843,225.83031177520752
14,215.82559037208557,9.88210940361023,225.70832109451294
15,215.88560032844543,9.876000165939331,225.7621967792511
16,215.80273723602295,9.880232095718384,225.68361926078796
17,215.8760530948639,9.860751152038574,225.7372407913208
18,215.81413173675537,9.833967924118042,225.64862084388733
19,215.86319637298584,9.974495887756348,225.83854985237122
20,215.83963561058044,9.889110326766968,225.72923469543457
21,215.86002612113953,9.872104167938232,225.73256707191467
22,215.84518933296204,9.904128074645996,225.7497477531433
23,215.76421976089478,9.884456634521484,225.64916038513184
24,215.718017578125,9.869388818740845,225.58797597885132
25,215.65939331054688,9.870426893234253,225.53025889396667
26,215.7143588066101,9.892476558685303,225.60735893249512
27,215.82808589935303,9.87576961517334,225.7042579650879
28,215.88578724861145,9.89201283454895,225.77839350700378
29,215.80405926704407,9.909688949584961,225.7142195701599
30,215.91426134109497,9.874447107315063,225.79017305374146
31,215.85631704330444,9.915591478347778,225.77235960960388
32,215.88554620742798,9.898430585861206,225.78483295440674
33,215.83777403831482,9.883865356445312,225.72212409973145
34,215.8346667289734,9.870113134384155,225.70525646209717
35,215.7682638168335,9.88841199874878,225.65722131729126
36,215.872460603714,9.8524808883667,225.7254045009613
37,215.78220987319946,9.892087936401367,225.67487454414368
38,215.82926559448242,9.887333154678345,225.71741843223572
39,215.70171451568604,9.875901222229004,225.57994389533997
40,215.85744261741638,9.95457148551941,225.81276679039001
41,215.82208108901978,9.924827814102173,225.74768900871277
42,215.78659057617188,9.841427564620972,225.62871408462524
43,215.88471627235413,9.894880533218384,225.78018188476562
44,215.8424892425537,9.86818528175354,225.7114839553833
45,215.911199092865,9.88590931892395,225.7974717617035
46,215.85680651664734,9.877258062362671,225.7345745563507
47,215.88455724716187,9.875133752822876,225.76035022735596
48,215.83059740066528,9.899004459381104,225.73023176193237
49,215.8557002544403,9.862278938293457,225.71865057945251
50,215.84357810020447,9.937731981277466,225.78203868865967
51,215.9158194065094,9.87026047706604,225.78673362731934
52,215.85439276695251,9.88151502609253,225.73637914657593
53,215.85883331298828,9.929290533065796,225.78848242759705
54,215.86618161201477,9.836732387542725,225.70358037948608
55,215.7911479473114,9.885109663009644,225.67674088478088
56,215.79383373260498,9.917208671569824,225.71171236038208
57,215.79584527015686,9.886701583862305,225.6831510066986
58,215.90854716300964,9.898914575576782,225.80798292160034
59,215.81981563568115,9.90078330039978,225.72124934196472
60,216.1869125366211,9.874993324279785,226.0625717639923
61,216.77788305282593,10.00130033493042,226.7798261642456
62,216.62229800224304,9.901010751724243,226.52380180358887
63,215.66798520088196,9.86015772819519,225.5289273262024
64,215.80139303207397,9.86193585395813,225.6639003753662
65,215.8122365474701,9.853516817092896,225.6663465499878
66,215.85938239097595,9.869581699371338,225.72952508926392
67,215.84677720069885,9.894322633743286,225.74154829978943
68,215.85868215560913,9.896471500396729,225.755695104599
69,215.78528547286987,9.908031940460205,225.69365096092224
70,215.83719658851624,9.934781312942505,225.77245330810547
71,215.66567945480347,9.892337799072266,225.558669090271
72,215.74572157859802,9.886075019836426,225.63255214691162
73,215.6305205821991,9.868337869644165,225.49937105178833
74,215.61971640586853,9.95070481300354,225.57110023498535
75,215.66887021064758,9.86319613456726,225.53259325027466
76,215.68906927108765,9.876540660858154,225.5663537979126
77,215.7879559993744,9.870193481445312,225.658753156662
78,215.66552233695984,9.895459175109863,225.56162238121033
79,215.76021671295166,9.903028011322021,225.66395568847656
80,215.6631555557251,9.879658937454224,225.54339694976807
81,215.72164583206177,9.879281520843506,225.60192918777466
82,215.68288373947144,9.875540494918823,225.559011220932
83,215.75850009918213,9.907499551773071,225.66657519340515
84,215.6381311416626,9.913484334945679,225.55248594284058
85,215.72981929779053,9.911842107772827,225.64259457588196
86,215.64774703979492,9.920732975006104,225.56924510002136
87,215.70689606666565,9.900235176086426,225.60777831077576
88,215.65033221244812,9.90512490272522,225.55608129501343
89,215.73728561401367,9.859302520751953,225.5972867012024
90,215.65090823173523,9.856727600097656,225.50834345817566
91,215.74187541007996,9.896751165390015,225.6392478942871
92,215.64290118217468,9.89328646659851,225.53689551353455
93,215.73449325561523,9.905761480331421,225.6408703327179
94,215.62227749824524,9.86201810836792,225.48506927490234
95,215.6901671886444,10.010210752487183,225.70096898078918
96,215.64720916748047,9.890135765075684,225.53840923309326
97,215.65760231018066,9.908115863800049,225.566326379776
98,215.72986483573914,9.892714738845825,225.623131275177
99,215.680335521698,9.870628356933594,225.55156826972961
100,215.77109551429749,9.884541511535645,225.6563675403595
