epoch,batch,loss
1,313,0.9429795226818152
2,313,0.9337858949387243
3,313,0.9288328664573624
4,313,0.9262079752259926
5,313,0.9246554702140521
6,313,0.9236390944876317
7,313,0.9230130357901922
8,313,0.9223259727975004
9,313,0.9222908591515846
10,313,0.9220098245380289
11,313,0.921210843525129
12,313,0.9210881560822052
13,313,0.920602104798442
14,313,0.9209005240556566
15,313,0.9208852671287722
16,313,0.9203775139831257
17,313,0.91990948634431
18,313,0.9205085629376796
19,313,0.9199085787075825
20,313,0.9196564637999697
21,313,0.9193345546060749
22,313,0.9194853878404226
23,313,0.9196006962833071
24,313,0.9190947289796941
25,313,0.9192581667673776
26,313,0.919077236009848
27,313,0.9188746320954826
28,313,0.9191922318332817
29,313,0.9184837734216516
30,313,0.918558941103452
31,313,0.9184125982714334
32,313,0.9179888135814341
33,313,0.9174799470100031
34,313,0.917769847369331
35,313,0.9167757035720098
36,313,0.9171504851930242
37,313,0.9165071189794458
38,313,0.9158788212352637
39,313,0.9150077162413973
40,313,0.914240062511986
41,313,0.9138056167018545
42,313,0.9129359889764188
43,313,0.9122933862054189
44,313,0.9119802428837783
45,313,0.912230868543849
46,313,0.9114995536260841
47,313,0.910684129807985
48,313,0.9102710980383119
49,313,0.9108817670803588
50,313,0.9099395380341287
51,313,0.9096515925546951
52,313,0.9089110089996678
53,313,0.9080286353692486
54,313,0.9084351543367483
55,313,0.908145444471115
56,313,0.907197904565867
57,313,0.9069227804092063
58,313,0.906441383733554
59,313,0.9067929376743944
60,313,0.9066775941659808
61,313,0.9065170250580452
62,313,0.9055736618704123
63,313,0.9053481429024662
64,313,0.9051357880777855
65,313,0.904756710941984
66,313,0.9044757987372453
67,313,0.9041377788406261
68,313,0.904229231053563
69,313,0.9033042665205984
70,313,0.9028612068772233
71,313,0.9020465778453868
72,313,0.9018183582763508
73,313,0.9023205108808776
74,313,0.9013376958575224
75,313,0.9015091327569124
76,313,0.9018119232613178
77,313,0.9008777798291864
78,313,0.9007137162729252
79,313,0.8995193181378583
80,313,0.8997436262734982
81,313,0.8994791457633688
82,313,0.898964973345065
83,313,0.8979030193459978
84,313,0.8979781113959139
85,313,0.8986077521300276
86,313,0.8972692494699918
87,313,0.8966791866572733
88,313,0.8965149709207413
89,313,0.8959509326502448
90,313,0.8949769284208224
91,313,0.8957798205031812
92,313,0.8953856216154192
93,313,0.8940118531876674
94,313,0.8941848760701496
95,313,0.8939425232771144
96,313,0.8934268574188332
97,313,0.8923699956865286
98,313,0.8928706369121393
99,313,0.8926659862160204
100,313,0.8916169556069135
