epoch,train_time_s,val_time_s,total_time_s
1,1017.2486622333527,72.56234931945801,1089.8116092681885
2,1605.186508178711,186.04690670967102,1791.2340364456177
3,1965.8630685806274,180.4763023853302,2146.340028524399
4,1919.3274683952332,181.33278965950012,2100.660920858383
5,1892.9720454216003,179.85070943832397,2072.823396205902
6,1915.8853180408478,181.9355432987213,2097.8217635154724
7,1203.8748526573181,63.14731812477112,1267.022742986679
8,983.2580287456512,66.45460367202759,1049.7132091522217
9,978.5043253898621,62.582109212875366,1041.0869698524475
10,1008.4554991722107,64.37766432762146,1072.8338975906372
11,993.912736415863,62.63116717338562,1056.5445222854614
12,1130.354773759842,66.45528483390808,1196.8105249404907
13,1010.8748891353607,63.8781042098999,1074.7535722255707
14,1009.4366171360016,63.31728148460388,1072.7545068264008
15,967.1415114402771,62.45546531677246,1029.5976734161377
16,985.7911648750305,62.00810480117798,1047.7999680042267
17,1020.2299053668976,62.65586805343628,1082.886398077011
18,981.0787966251373,65.03051948547363,1046.109970331192
19,992.9751760959625,62.8083119392395,1055.784031867981
20,983.4819312095642,62.4123375415802,1045.8948855400085
21,980.9454622268677,62.36251902580261,1043.3089480400085
22,987.7167432308197,65.0104751586914,1052.727848291397
23,985.6827774047852,65.0527172088623,1050.736123085022
24,990.8001346588135,64.15781879425049,1054.9585807323456
25,990.6224851608276,66.77879166603088,1057.4018495082855
26,977.9462008476257,65.47963166236877,1043.4264488220215
27,982.0567173957825,64.6895043849945,1046.7468886375427
28,976.4060771465302,63.21494507789612,1039.6216895580292
29,981.4027111530304,63.72022795677185,1045.1235959529877
30,979.0555477142334,63.58818984031677,1042.6446154117584
31,984.3778169155121,63.8343391418457,1048.212917804718
32,967.6772429943085,61.4748809337616,1029.1527483463287
33,958.5019543170929,61.77180504798889,1020.2742056846619
34,964.2794241905212,64.8649308681488,1029.1450462341309
35,976.6325142383575,62.00265026092529,1038.6361413002014
36,970.4644839763641,64.15083432197571,1034.615909576416
37,983.7608690261841,63.199618101119995,1046.9610540866852
38,984.9153945446014,64.68794393539429,1049.6039481163025
39,984.3424003124237,64.93676805496216,1049.2797162532806
40,980.6967186927795,66.02504587173462,1046.7223372459412
41,982.4745626449585,64.63283896446228,1047.1080281734467
42,1258.268928527832,186.86794304847717,1445.1373059749603
43,1965.6384387016296,186.33869814872742,2151.977790594101
44,1916.0022065639496,190.87813019752502,2106.8808381557465
45,1948.9108448028564,178.34902453422546,2127.2604999542236
46,1951.5699536800385,184.768000125885,2136.338556289673
47,1978.942317724228,182.91427874565125,2161.8572590351105
48,1521.7069344520569,68.01059985160828,1589.7179741859436
49,1024.9699306488037,61.93340706825256,1086.9058372974396
50,1000.7758324146271,67.67556357383728,1068.45183801651
51,1078.0937359333038,67.6617283821106,1145.7559971809387
52,1797.0039641857147,178.17440247535706,1975.178921699524
53,1907.9436483383179,178.9559509754181,2086.90025806427
54,1914.5630719661713,176.08545565605164,2090.649147748947
55,1921.2381608486176,181.60478591918945,2102.8436102867126
56,1932.0469830036163,180.32239532470703,2112.3699548244476
57,1918.9402484893799,181.1868679523468,2100.1277282238007
58,1925.9994344711304,178.8384232521057,2104.8384470939636
59,1931.4788353443146,180.9678246974945,2112.447245359421
60,1919.5818855762482,178.35893368721008,2097.941485643387
61,1921.1370213031769,180.54662656784058,2101.6844046115875
62,1947.6536679267883,179.37941074371338,2127.0334928035736
63,1917.546844959259,186.41337847709656,2103.9608502388
64,1946.7030055522919,180.53836917877197,2127.241918563843
65,1881.4163978099823,178.47132110595703,2059.888345718384
66,1885.885517835617,177.44420957565308,2063.330338001251
67,1939.048115491867,180.84250354766846,2119.8912448883057
68,1916.186663866043,181.63535404205322,2097.8228850364685
69,1228.3381145000458,68.86053800582886,1297.199206829071
70,1001.0163397789001,65.33167672157288,1066.3490171432495
71,1000.4096074104309,63.17129969596863,1063.5816876888275
72,980.7663490772247,67.15534114837646,1047.9223039150238
73,991.9383890628815,64.4300754070282,1056.3691473007202
74,977.687830209732,63.775899171829224,1041.464343070984
75,990.2182817459106,63.765624046325684,1053.98455286026
76,973.6241312026978,64.69885921478271,1038.3235981464386
77,960.411342382431,62.624783515930176,1023.0367765426636
78,984.9139969348907,65.66086745262146,1050.5756771564484
79,979.3527655601501,64.37642240524292,1043.7297542095184
80,970.3307273387909,62.78627943992615,1033.1176264286041
81,965.6294469833374,63.612293004989624,1029.2423470020294
82,971.6610770225525,62.95795202255249,1034.6197233200073
83,962.9721660614014,62.160876989364624,1025.133959531784
84,984.1831686496735,62.21115970611572,1046.3948843479156
85,990.6123037338257,63.26007604598999,1053.8728783130646
86,985.2656712532043,64.14624452590942,1049.4125156402588
87,961.5581166744232,63.256213665008545,1024.8149242401123
88,983.5890083312988,65.3630747795105,1048.9526369571686
89,972.8092637062073,63.63141179084778,1036.4412589073181
90,960.3735866546631,64.50916862487793,1024.8834626674652
91,976.3949546813965,63.778170108795166,1040.1737749576569
92,974.2488646507263,64.77228546142578,1039.021827697754
93,967.79709815979,63.36542105674744,1031.1631853580475
94,971.3311357498169,64.67832708358765,1036.010001897812
95,962.2939162254333,63.2544801235199,1025.5489528179169
96,968.9318196773529,63.90860152244568,1032.8410830497742
97,972.9952721595764,66.11828851699829,1039.114223241806
98,967.4653866291046,64.67898845672607,1032.1449780464172
99,961.1411552429199,61.94515943527222,1023.0869517326355
100,960.026421546936,63.0102756023407,1023.0373313426971
