noise_type,fid_noisy,fid_corr,delta_fid
depolarizing,0.2478849232270759,0.7014199191006478,0.4535349956517184
bitflip,0.24100272293494204,0.5774525313478227,0.3364498078108135
mixed,0.35611400030497603,0.6295081186956004,0.2733941183906244
phase_damping,0.7373993366016346,0.9313650499414472,0.1939657131589732
amplitude_damping,0.27128205279646844,0.3894826128776425,0.11820056017598655
