noise_type,fid_noisy,fid_corr,delta_fid
depolarizing,0.25053825952112674,0.6146934696659446,0.36415521062910555
bitflip,0.23930426456034185,0.5062049782648682,0.2669007138162851
mixed,0.3203510168381035,0.565021520294249,0.24467050291597844
phase_damping,0.7302189468592405,0.9251855689287186,0.19496662214398383
amplitude_damping,0.26721295897848907,0.36436849942198024,0.09715554041555151
