model_name,qubits,matrix_size,patch_size,tokens,batch_size,params,memory_per_sample_kb,attention_ops,elementwise_tokens,elementwise_attention_ops,compression_ratio,avg_epoch_time,epoch_time_std
hierarchical_5qubit,5,32x32,4x4,64,8,534592,8.0,4096,1024,1048576,16.0,,
hierarchical_8qubit,8,256x256,32x32,64,4,1611072,512.0,4096,65536,4294967296,1024.0,,
