epoch,mean_train_loss
1,0.9734650518745184
2,0.9569420839431227
3,0.9460343660894505
4,0.9609649282102742
5,0.9728440322043482
6,0.973810073955
7,0.9738509768173714
8,0.9731885794519393
9,0.9733748531784893
10,0.9737227005653145
11,0.9726713941732714
12,0.973670213663381
13,0.9735038028275671
14,0.9734840769659389
15,0.9732036280976839
16,0.9745439408978155
17,0.9757798030972481
18,0.9731234892956482
19,0.9734015489289584
20,0.9744253840820849
21,0.9726166503734825
22,0.9730095224316455
23,0.9733755910199535
24,0.9730794677187589
25,0.9733309086442979
26,0.9740360164075843
27,0.973330024956179
28,0.9742227740647379
29,0.9737717822933
30,0.9743821328582842
31,0.9731817473557369
32,0.9737138593122979
33,0.9739773760157183
34,0.9735735142649697
35,0.9741321879600691
36,0.9735208734869957
37,0.9735736299521667
38,0.9739726322987848
39,0.97322797700147
40,0.9733081887453056
41,0.9734895458152472
42,0.9747699568463751
43,0.9741910307614271
44,0.9741074495571704
45,0.9740918683365357
46,0.9737048095045996
47,0.9734819516909023
48,0.9726721439110346
49,0.973655590550466
50,0.9738712946614944
51,0.9737998565366446
52,0.9736487503509876
53,0.9727602398715729
54,0.9735839648064503
55,0.9732562813507624
56,0.9741950898869963
57,0.9722807489766562
58,0.9734472953214133
59,0.9739784269909229
60,0.9732654315504161
61,0.9736476345988344
62,0.9731253731841883
63,0.9737187545161602
64,0.9739367002174873
65,0.9740596823086424
66,0.9736085372769143
67,0.9748003802762544
68,0.9736589407378977
69,0.974055894544302
70,0.9734820345093396
71,0.9735178096604741
72,0.9731490588631512
73,0.9731022466805356
74,0.9735286948478912
75,0.9731879962254162
76,0.9736152227013565
77,0.9749643633680896
78,0.9733842805027961
79,0.9742577001575596
80,0.9725643022617033
81,0.9734979886900295
82,0.9727968928735118
83,0.9738286507646899
84,0.9738033190246456
85,0.9731295931437784
86,0.9736529991400144
87,0.9731424393363235
88,0.9739640483063114
89,0.9736193513205229
90,0.9733076646431419
91,0.9735806492488246
92,0.9739466913106027
93,0.973819320482656
94,0.9734909072518348
95,0.9733948289239702
96,0.9735917894185082
97,0.9730990294828887
98,0.9735548772841446
99,0.9736269343244143
100,0.9742949323836437
