epoch,mean_train_loss
1,1.0904146304354072
2,0.9532676281407475
3,0.875884398818016
4,0.8461325006000697
5,0.7979457668401301
6,0.7550872686691582
7,0.7206358605530113
8,0.7021646320773288
9,0.6908236534614116
10,0.6772053320333362
11,0.6691199641348794
12,0.6608630940387957
13,0.6586963835032656
14,0.6493954633525573
15,0.6481563590792939
16,0.648122968574753
17,0.6403214845666662
18,0.6350698404526338
19,0.6372065857355483
20,0.6324674421735108
21,0.629975105302874
22,0.6303987166867592
23,0.6262518125772476
24,0.6308160759881138
25,0.6274049486545846
26,0.6236798467487097
27,0.6248324897571002
28,0.6178813500679098
29,0.6196342424675823
30,0.6180275436490774
31,0.61815231440356
32,0.612277178869117
33,0.6141381371207535
34,0.6152537292381749
35,0.6115213118330576
36,0.6093879180157091
37,0.6079235713323579
38,0.6129320365027524
39,0.6068644125177525
40,0.6077682618633844
41,0.6079851516918279
42,0.6070548038487322
43,0.6043142154207453
44,0.6018352559441701
45,0.6028857708768919
46,0.6048537637782283
47,0.6041107926901895
48,0.6036779270914849
49,0.6031479145702906
50,0.6012396237195935
51,0.6009943220962305
52,0.6024302993807942
53,0.5949686537310481
54,0.5994604781572707
55,0.5969228469498922
56,0.5955331356998067
57,0.593939948977204
58,0.5902403276972472
59,0.5952157960028853
60,0.5900786185136531
61,0.594687467435142
62,0.5879262745415326
63,0.5945956487872173
64,0.5936393811763264
65,0.5880024299572688
66,0.5892772385501303
67,0.5906207621004432
68,0.5889261440676637
69,0.5915527274238411
70,0.5887025929475204
71,0.5863711646490265
72,0.5864822043722961
73,0.5863951016042848
74,0.5848936172260437
75,0.5864740500587504
76,0.581087644440122
77,0.5830682348355185
78,0.5837722166441381
79,0.5793258237617556
80,0.5789190813456662
81,0.5814066907530651
82,0.5765290475927759
83,0.5811045636353083
84,0.5777859074843582
85,0.5791674177115783
86,0.5813796889979858
87,0.5761693490389734
88,0.5739121239696396
89,0.5771827649977058
90,0.57367748451652
91,0.5724121958820615
92,0.5710236453241668
93,0.572944673425518
94,0.5713728458283004
95,0.5725868980458472
96,0.5731558891234454
97,0.5685536645050161
98,0.5698822356190066
99,0.5701213905203621
100,0.5662328686343971
