epoch,mean_train_loss
1,1.2270416015271828
2,1.0345826784484033
3,0.989259045109276
4,0.9008864305236123
5,0.8741459064124044
6,0.8699592550924001
7,0.865051230849806
8,0.8552950532906805
9,0.8371300459215957
10,0.8209541492656736
11,0.8075939131300311
12,0.7966152719722307
13,0.7872298939692334
14,0.7818824181410153
15,0.7774678196819607
16,0.7718606556773432
17,0.7640268865972757
18,0.7570744309882241
19,0.7490521958713566
20,0.7435135819371944
21,0.7380648100810233
22,0.7353628985676145
23,0.7322502917155993
24,0.730249794115397
25,0.7276890874786441
26,0.7248377783916706
27,0.7220919676217412
28,0.7206023129211231
29,0.7206692541002735
30,0.7160911204739789
31,0.7149288128137835
32,0.711681211876783
33,0.7082766583558818
34,0.7040041395555412
35,0.701221601198589
36,0.6964051274390322
37,0.698086985517755
38,0.6934249101191267
39,0.6931133468704652
40,0.6908692382891809
41,0.6899700890826292
42,0.6878829413593924
43,0.685937768775077
44,0.6866125732236965
45,0.6851950207509655
46,0.6833791546015577
47,0.6831148336218162
48,0.6813860004021178
49,0.6811133866914171
50,0.6781684499280143
51,0.677713588962316
52,0.6758675954674086
53,0.6757472074482868
54,0.6750822029376695
55,0.6741012579769142
56,0.6739702560792654
57,0.6714381201008012
58,0.6721986693091506
59,0.672041928792788
60,0.6677402393546048
61,0.6685620227428384
62,0.6699110514014837
63,0.6649702431249225
64,0.6668426086402629
65,0.6677204293529849
66,0.6642799559641969
67,0.6631190824160768
68,0.6630635750703205
69,0.6625883462361621
70,0.6628101251911649
71,0.6596314893558252
72,0.6605753772145461
73,0.6578486933234371
74,0.6564626381824886
75,0.6556296118842977
76,0.6567813781836678
77,0.6567869837134153
78,0.6548339344030015
79,0.6543236163929721
80,0.6546823492704713
81,0.6528451557286576
82,0.6521894326433539
83,0.6528697365910308
84,0.6501356563654013
85,0.6506792251651814
86,0.649193404302432
87,0.6464135228001997
88,0.6476872031684687
89,0.6452939409677956
90,0.6449927454783527
91,0.6454498285119814
92,0.6445788192308762
93,0.6436160949151193
94,0.6416419160013541
95,0.6414633748036894
96,0.6432464095186596
97,0.6407768513099098
98,0.6402483059793772
99,0.6393581117972855
100,0.6412157195204607
