epoch,mean_train_loss
1,0.8681434051692486
2,0.8609603223949671
3,0.8602933253347874
4,0.8600788901001215
5,0.859910296574235
6,0.8598450262099504
7,0.8597706039249897
8,0.8596916317939758
9,0.858649829402566
10,0.8553014425933361
11,0.8531578024476767
12,0.8511547008901834
13,0.849105322882533
14,0.8453867038339377
15,0.8414428522437811
16,0.8375008764117956
17,0.8334052730351686
18,0.828674226552248
19,0.8236645216494799
20,0.8188105189055205
21,0.8138044583797455
22,0.8087813319265842
23,0.8037071328610181
24,0.7987222822755575
25,0.7941599650681019
26,0.7890986426174641
27,0.7837925628572703
28,0.7784985550493002
29,0.7737082248926163
30,0.7689507162570953
31,0.7642643531411886
32,0.760044584646821
33,0.7555547257512808
34,0.7507409193366766
35,0.7471892976015806
36,0.7430094102770091
37,0.7385076735913754
38,0.7345380198210478
39,0.7296132808178664
40,0.725401955395937
41,0.721554866284132
42,0.7171110997349024
43,0.7126844101399183
44,0.7081745796650648
45,0.7043494383245706
46,0.7008461905270815
47,0.6972603034973145
48,0.6948043052852154
49,0.6905622531473636
50,0.6891068761050702
51,0.6851616644859314
52,0.6821602535247803
53,0.6790888465195895
54,0.675450643002987
55,0.6721893829107285
56,0.6678832259774208
57,0.6645638740807772
58,0.6611451160162687
59,0.6580058624595404
60,0.6547711438685656
61,0.6526277882605791
62,0.6522692976146937
63,0.6487616961449385
64,0.6453943208605051
65,0.6419518932700157
66,0.6389739406108856
67,0.63582947678864
68,0.6326879797875882
69,0.6302592939138413
70,0.626755406782031
71,0.6259146394580603
72,0.6247649709880352
73,0.6241040444374084
74,0.6217583870887756
75,0.6187393429130316
76,0.6166242910921573
77,0.6145564742386341
78,0.6112750697880983
79,0.6102992373704911
80,0.6085995778441429
81,0.6068494512885809
82,0.6041850730031729
83,0.6023358841240406
84,0.5975634904950857
85,0.5957061599940061
86,0.5934611424803734
87,0.5904193087667227
88,0.5867509856820107
89,0.5857150556892157
90,0.5834972043335438
91,0.5824896660447121
92,0.5800077106058598
93,0.5774853833019733
94,0.5768205323070288
95,0.5767348462343216
96,0.5749923419952393
97,0.5736675029993057
98,0.5715423261374235
99,0.5686559736728668
100,0.566371821090579
