Using device: cuda
Train chunks: 80
Val chunks: 10
Test chunks: 10

Using FROBENIUS NORMALIZATION

============================================================
Training MLP Wide (v17 - Frobenius normalized)
Parameters: 5,288,352
Batch size: 64
============================================================

Saved BEST checkpoint
Epoch 3
  chunk 0 final batch loss = 0.811432
  chunk 1 final batch loss = 0.809266
  chunk 2 final batch loss = 0.558951
  chunk 3 final batch loss = 0.399297
  chunk 4 final batch loss = 0.811848
  chunk 5 final batch loss = 0.638292
  chunk 6 final batch loss = 0.302760
  chunk 7 final batch loss = 0.572130
  chunk 8 final batch loss = 0.423531
  chunk 9 final batch loss = 0.695647
  chunk 10 final batch loss = 0.524531
  chunk 11 final batch loss = 0.823715
  chunk 12 final batch loss = 0.780947
  chunk 13 final batch loss = 0.786813
  chunk 14 final batch loss = 0.562570
  chunk 15 final batch loss = 0.418243
  chunk 16 final batch loss = 0.394599
  chunk 17 final batch loss = 0.536292
  chunk 18 final batch loss = 0.764729
  chunk 19 final batch loss = 0.351650
  chunk 20 final batch loss = 0.819830
  chunk 21 final batch loss = 0.762696
  chunk 22 final batch loss = 0.815165
  chunk 23 final batch loss = 0.749486
  chunk 24 final batch loss = 0.802472
  chunk 25 final batch loss = 0.426379
  chunk 26 final batch loss = 0.819707
  chunk 27 final batch loss = 0.306491
  chunk 28 final batch loss = 0.305376
  chunk 29 final batch loss = 0.808077
  chunk 30 final batch loss = 0.416342
  chunk 31 final batch loss = 0.368719
  chunk 32 final batch loss = 0.781646
  chunk 33 final batch loss = 0.325927
  chunk 34 final batch loss = 0.501804
  chunk 35 final batch loss = 0.820612
  chunk 36 final batch loss = 0.742741
  chunk 37 final batch loss = 0.633164
  chunk 38 final batch loss = 0.345674
  chunk 39 final batch loss = 0.825080
  chunk 40 final batch loss = 0.352247
  chunk 41 final batch loss = 0.719246
  chunk 42 final batch loss = 0.307316
  chunk 43 final batch loss = 0.813561
  chunk 44 final batch loss = 0.396246
  chunk 45 final batch loss = 0.804405
  chunk 46 final batch loss = 0.312248
  chunk 47 final batch loss = 0.341671
  chunk 48 final batch loss = 0.376262
  chunk 49 final batch loss = 0.810378
  chunk 50 final batch loss = 0.728719
  chunk 51 final batch loss = 0.416496
  chunk 52 final batch loss = 0.293767
  chunk 53 final batch loss = 0.617112
  chunk 54 final batch loss = 0.441871
  chunk 55 final batch loss = 0.359417
  chunk 56 final batch loss = 0.783093
  chunk 57 final batch loss = 0.796751
  chunk 58 final batch loss = 0.726897
  chunk 59 final batch loss = 0.363240
  chunk 60 final batch loss = 0.716948
  chunk 61 final batch loss = 0.356681
  chunk 62 final batch loss = 0.368227
  chunk 63 final batch loss = 0.802413
  chunk 64 final batch loss = 0.808327
  chunk 65 final batch loss = 0.451642
  chunk 66 final batch loss = 0.710992
  chunk 67 final batch loss = 0.811843
  chunk 68 final batch loss = 0.499508
  chunk 69 final batch loss = 0.710396
  chunk 70 final batch loss = 0.303778
  chunk 71 final batch loss = 0.754626
  chunk 72 final batch loss = 0.782862
  chunk 73 final batch loss = 0.496664
  chunk 74 final batch loss = 0.653010
  chunk 75 final batch loss = 0.309186
  chunk 76 final batch loss = 0.270169
  chunk 77 final batch loss = 0.545763
  chunk 78 final batch loss = 0.818555
  chunk 79 final batch loss = 0.725162
Validation loss: 0.538709
Saved BEST checkpoint
Epoch 4
  chunk 0 final batch loss = 0.802719
  chunk 1 final batch loss = 0.813885
  chunk 2 final batch loss = 0.569353
  chunk 3 final batch loss = 0.395914
  chunk 4 final batch loss = 0.788908
  chunk 5 final batch loss = 0.625406
  chunk 6 final batch loss = 0.309344
  chunk 7 final batch loss = 0.559367
  chunk 8 final batch loss = 0.401068
  chunk 9 final batch loss = 0.698509
  chunk 10 final batch loss = 0.514156
  chunk 11 final batch loss = 0.828676
  chunk 12 final batch loss = 0.778839
  chunk 13 final batch loss = 0.766967
  chunk 14 final batch loss = 0.518196
  chunk 15 final batch loss = 0.404578
  chunk 16 final batch loss = 0.380317
  chunk 17 final batch loss = 0.512240
  chunk 18 final batch loss = 0.704727
  chunk 19 final batch loss = 0.339911
  chunk 20 final batch loss = 0.815486
  chunk 21 final batch loss = 0.727871
  chunk 22 final batch loss = 0.798469
  chunk 23 final batch loss = 0.728627
  chunk 24 final batch loss = 0.815126
  chunk 25 final batch loss = 0.421403
  chunk 26 final batch loss = 0.815895
  chunk 27 final batch loss = 0.274728
  chunk 28 final batch loss = 0.294783
  chunk 29 final batch loss = 0.807719
  chunk 30 final batch loss = 0.397703
  chunk 31 final batch loss = 0.342908
  chunk 32 final batch loss = 0.776961
  chunk 33 final batch loss = 0.327929
  chunk 34 final batch loss = 0.516429
  chunk 35 final batch loss = 0.813384
  chunk 36 final batch loss = 0.730837
  chunk 37 final batch loss = 0.601633
  chunk 38 final batch loss = 0.298578
  chunk 39 final batch loss = 0.825796
  chunk 40 final batch loss = 0.313360
  chunk 41 final batch loss = 0.696210
  chunk 42 final batch loss = 0.326712
  chunk 43 final batch loss = 0.817732
  chunk 44 final batch loss = 0.406744
  chunk 45 final batch loss = 0.814725
  chunk 46 final batch loss = 0.326537
  chunk 47 final batch loss = 0.296014
  chunk 48 final batch loss = 0.341870
  chunk 49 final batch loss = 0.813351
  chunk 50 final batch loss = 0.740028
  chunk 51 final batch loss = 0.372666
  chunk 52 final batch loss = 0.283067
  chunk 53 final batch loss = 0.599044
  chunk 54 final batch loss = 0.381506
  chunk 55 final batch loss = 0.300148
  chunk 56 final batch loss = 0.773496
  chunk 57 final batch loss = 0.784135
  chunk 58 final batch loss = 0.703043
  chunk 59 final batch loss = 0.313754
  chunk 60 final batch loss = 0.719744
  chunk 61 final batch loss = 0.377909
  chunk 62 final batch loss = 0.362422
  chunk 63 final batch loss = 0.812371
  chunk 64 final batch loss = 0.801803
  chunk 65 final batch loss = 0.406510
  chunk 66 final batch loss = 0.701957
  chunk 67 final batch loss = 0.819033
  chunk 68 final batch loss = 0.515760
  chunk 69 final batch loss = 0.676448
  chunk 70 final batch loss = 0.305859
