Using device: cuda
Train chunks: 80
Val chunks: 10
Test chunks: 10

Using STREAMING + FROBENIUS NORMALIZATION

============================================================
Training Transformer 8-qubit (v17 - Streaming + Frobenius)
Parameters: 1,611,072
Batch size: 8
============================================================

  batch 9100 loss = 0.899163
  batch 9200 loss = 0.912458
  batch 9300 loss = 0.911340
  batch 9400 loss = 0.936918
  batch 9500 loss = 0.938373
  batch 9600 loss = 0.934864
  batch 9700 loss = 0.920623
  batch 9800 loss = 0.935971
  batch 9900 loss = 0.901775
  batch 10000 loss = 0.907469
  Total batches: 10000, final loss = 0.907469
Validation loss: 0.926114
Saved BEST checkpoint
Epoch 3
  batch 100 loss = 0.900902
  batch 200 loss = 0.888565
  batch 300 loss = 0.892195
  batch 400 loss = 0.925243
  batch 500 loss = 0.932719
  batch 600 loss = 0.882206
  batch 700 loss = 0.888887
  batch 800 loss = 0.938361
  batch 900 loss = 0.937224
  batch 1000 loss = 0.937247
  batch 1100 loss = 0.895295
  batch 1200 loss = 0.932097
  batch 1300 loss = 0.914334
  batch 1400 loss = 0.938300
  batch 1500 loss = 0.934981
  batch 1600 loss = 0.889104
  batch 1700 loss = 0.904533
  batch 1800 loss = 0.937825
  batch 1900 loss = 0.906002
  batch 2000 loss = 0.897546
  batch 2100 loss = 0.907186
  batch 2200 loss = 0.907642
  batch 2300 loss = 0.939235
  batch 2400 loss = 0.909628
  batch 2500 loss = 0.897566
  batch 2600 loss = 0.937756
  batch 2700 loss = 0.909073
  batch 2800 loss = 0.937315
  batch 2900 loss = 0.885941
  batch 3000 loss = 0.889138
  batch 3100 loss = 0.934701
  batch 3200 loss = 0.881834
  batch 3300 loss = 0.926468
  batch 3400 loss = 0.909938
  batch 3500 loss = 0.915377
  batch 3600 loss = 0.898136
  batch 3700 loss = 0.935370
  batch 3800 loss = 0.938898
  batch 3900 loss = 0.914982
  batch 4000 loss = 0.899633
  batch 4100 loss = 0.937085
  batch 4200 loss = 0.897745
  batch 4300 loss = 0.937712
  batch 4400 loss = 0.925952
  batch 4500 loss = 0.920163
  batch 4600 loss = 0.908110
  batch 4700 loss = 0.907133
  batch 4800 loss = 0.938756
  batch 4900 loss = 0.886968
  batch 5000 loss = 0.905636
  batch 5100 loss = 0.925286
  batch 5200 loss = 0.937841
  batch 5300 loss = 0.905117
  batch 5400 loss = 0.936857
  batch 5500 loss = 0.935963
  batch 5600 loss = 0.933148
  batch 5700 loss = 0.905848
  batch 5800 loss = 0.906771
  batch 5900 loss = 0.937084
  batch 6000 loss = 0.936687
  batch 6100 loss = 0.908552
  batch 6200 loss = 0.892113
  batch 6300 loss = 0.937370
  batch 6400 loss = 0.901470
  batch 6500 loss = 0.898290
  batch 6600 loss = 0.922610
  batch 6700 loss = 0.930565
  batch 6800 loss = 0.917209
  batch 6900 loss = 0.938155
  batch 7000 loss = 0.937771
  batch 7100 loss = 0.894378
  batch 7200 loss = 0.933863
  batch 7300 loss = 0.904508
  batch 7400 loss = 0.929430
  batch 7500 loss = 0.914955
  batch 7600 loss = 0.936168
  batch 7700 loss = 0.932810
  batch 7800 loss = 0.926090
  batch 7900 loss = 0.936477
  batch 8000 loss = 0.936037
  batch 8100 loss = 0.915477
  batch 8200 loss = 0.928486
  batch 8300 loss = 0.889520
  batch 8400 loss = 0.935568
  batch 8500 loss = 0.935660
  batch 8600 loss = 0.929849
  batch 8700 loss = 0.892457
  batch 8800 loss = 0.908416
  batch 8900 loss = 0.937585
  batch 9000 loss = 0.934853
  batch 9100 loss = 0.929647
  batch 9200 loss = 0.886916
  batch 9300 loss = 0.917003
  batch 9400 loss = 0.928320
  batch 9500 loss = 0.922760
  batch 9600 loss = 0.898716
  batch 9700 loss = 0.912557
  batch 9800 loss = 0.895037
  batch 9900 loss = 0.929327
  batch 10000 loss = 0.937810
  Total batches: 10000, final loss = 0.937810
Validation loss: 0.926260
No improvement for 1 epochs
Epoch 4
  batch 100 loss = 0.870103
  batch 200 loss = 0.898809
  batch 300 loss = 0.905480
  batch 400 loss = 0.905333
  batch 500 loss = 0.906000
  batch 600 loss = 0.891942
  batch 700 loss = 0.937772
  batch 800 loss = 0.888292
  batch 900 loss = 0.889211
  batch 1000 loss = 0.890026
  batch 1100 loss = 0.898476
  batch 1200 loss = 0.885841
  batch 1300 loss = 0.891667
  batch 1400 loss = 0.918951
  batch 1500 loss = 0.909369
  batch 1600 loss = 0.927752
  batch 1700 loss = 0.940627
  batch 1800 loss = 0.925454
  batch 1900 loss = 0.937712
  batch 2000 loss = 0.936806
  batch 2100 loss = 0.907184
  batch 2200 loss = 0.932376
  batch 2300 loss = 0.933722
  batch 2400 loss = 0.888216
  batch 2500 loss = 0.895088
  batch 2600 loss = 0.880981
  batch 2700 loss = 0.934762
  batch 2800 loss = 0.933864
  batch 2900 loss = 0.887988
  batch 3000 loss = 0.897908
  batch 3100 loss = 0.903887
  batch 3200 loss = 0.925192
  batch 3300 loss = 0.937701
  batch 3400 loss = 0.879171
  batch 3500 loss = 0.908626
  batch 3600 loss = 0.923380
  batch 3700 loss = 0.897565
  batch 3800 loss = 0.938179
  batch 3900 loss = 0.916235
  batch 4000 loss = 0.907775
  batch 4100 loss = 0.884007
  batch 4200 loss = 0.938230
  batch 4300 loss = 0.939679
  batch 4400 loss = 0.934801
  batch 4500 loss = 0.926928
  batch 4600 loss = 0.900208
  batch 4700 loss = 0.898962
  batch 4800 loss = 0.922972
  batch 4900 loss = 0.881079
  batch 5000 loss = 0.901439
  batch 5100 loss = 0.903791
  batch 5200 loss = 0.932819
  batch 5300 loss = 0.932654
  batch 5400 loss = 0.934187
  batch 5500 loss = 0.934645
  batch 5600 loss = 0.933795
  batch 5700 loss = 0.931896
  batch 5800 loss = 0.929543
  batch 5900 loss = 0.909485
  batch 6000 loss = 0.897536
  batch 6100 loss = 0.936175
  batch 6200 loss = 0.896596
  batch 6300 loss = 0.893971
  batch 6400 loss = 0.936834
  batch 6500 loss = 0.935369
  batch 6600 loss = 0.932448
  batch 6700 loss = 0.933554
  batch 6800 loss = 0.904373
  batch 6900 loss = 0.916627
  batch 7000 loss = 0.919147
  batch 7100 loss = 0.887301
  batch 7200 loss = 0.935152
  batch 7300 loss = 0.917384
  batch 7400 loss = 0.903743
  batch 7500 loss = 0.882201
  batch 7600 loss = 0.928349
  batch 7700 loss = 0.903081
  batch 7800 loss = 0.911902
  batch 7900 loss = 0.894316
  batch 8000 loss = 0.899171
  batch 8100 loss = 0.930109
  batch 8200 loss = 0.905097
  batch 8300 loss = 0.894194
  batch 8400 loss = 0.944617
  batch 8500 loss = 0.937894
  batch 8600 loss = 0.935395
  batch 8700 loss = 0.905066
  batch 8800 loss = 0.918742
  batch 8900 loss = 0.925565
  batch 9000 loss = 0.937596
  batch 9100 loss = 0.937601
  batch 9200 loss = 0.936896
  batch 9300 loss = 0.938825
  batch 9400 loss = 0.933244
  batch 9500 loss = 0.930114
  batch 9600 loss = 0.922611
  batch 9700 loss = 0.891817
  batch 9800 loss = 0.890016
  batch 9900 loss = 0.937859
  batch 10000 loss = 0.934578
  Total batches: 10000, final loss = 0.934578
Validation loss: 0.925807
Saved BEST checkpoint
Epoch 5
  batch 100 loss = 0.901463
  batch 200 loss = 0.910888
  batch 300 loss = 0.893413
  batch 400 loss = 0.937500
  batch 500 loss = 0.936747
  batch 600 loss = 0.936499
  batch 700 loss = 0.915806
  batch 800 loss = 0.938482
  batch 900 loss = 0.910452
  batch 1000 loss = 0.885536
  batch 1100 loss = 0.937320
  batch 1200 loss = 0.912041
  batch 1300 loss = 0.887794
  batch 1400 loss = 0.940877
  batch 1500 loss = 0.936975
  batch 1600 loss = 0.895824
  batch 1700 loss = 0.912787
  batch 1800 loss = 0.889014
  batch 1900 loss = 0.936343
  batch 2000 loss = 0.935652
  batch 2100 loss = 0.885548
  batch 2200 loss = 0.938524
  batch 2300 loss = 0.895810
  batch 2400 loss = 0.944359
  batch 2500 loss = 0.938445
  batch 2600 loss = 0.885276
  batch 2700 loss = 0.931992
  batch 2800 loss = 0.929247
  batch 2900 loss = 0.935227
  batch 3000 loss = 0.936793
  batch 3100 loss = 0.930632
  batch 3200 loss = 0.933749
  batch 3300 loss = 0.932642
  batch 3400 loss = 0.902359
  batch 3500 loss = 0.874299
  batch 3600 loss = 0.871901
  batch 3700 loss = 0.930678
  batch 3800 loss = 0.920442
  batch 3900 loss = 0.879732
  batch 4000 loss = 0.888655
  batch 4100 loss = 0.926026
  batch 4200 loss = 0.895779
  batch 4300 loss = 0.935465
  batch 4400 loss = 0.937278
  batch 4500 loss = 0.927677
  batch 4600 loss = 0.903994
  batch 4700 loss = 0.869506
  batch 4800 loss = 0.887611
  batch 4900 loss = 0.904544
  batch 5000 loss = 0.900495
  batch 5100 loss = 0.909565
  batch 5200 loss = 0.885927
  batch 5300 loss = 0.941118
  batch 5400 loss = 0.875981
  batch 5500 loss = 0.864883
  batch 5600 loss = 0.928670
  batch 5700 loss = 0.901435
  batch 5800 loss = 0.925045
  batch 5900 loss = 0.946126
  batch 6000 loss = 0.938146
  batch 6100 loss = 0.884169
  batch 6200 loss = 0.908207
  batch 6300 loss = 0.869832
  batch 6400 loss = 0.934841
  batch 6500 loss = 0.931965
  batch 6600 loss = 0.925786
  batch 6700 loss = 0.931120
  batch 6800 loss = 0.935002
  batch 6900 loss = 0.902989
  batch 7000 loss = 0.885107
  batch 7100 loss = 0.877684
  batch 7200 loss = 0.932882
  batch 7300 loss = 0.888869
  batch 7400 loss = 0.901021
  batch 7500 loss = 0.890797
  batch 7600 loss = 0.898023
  batch 7700 loss = 0.902475
  batch 7800 loss = 0.917916
  batch 7900 loss = 0.896357
  batch 8000 loss = 0.891926
  batch 8100 loss = 0.860639
  batch 8200 loss = 0.884751
  batch 8300 loss = 0.890780
  batch 8400 loss = 0.868590
  batch 8500 loss = 0.891341
  batch 8600 loss = 0.875122
  batch 8700 loss = 0.933279
  batch 8800 loss = 0.938939
  batch 8900 loss = 0.936376
  batch 9000 loss = 0.928876
  batch 9100 loss = 0.856963
  batch 9200 loss = 0.858740
  batch 9300 loss = 0.924921
  batch 9400 loss = 0.893193
  batch 9500 loss = 0.911256
  batch 9600 loss = 0.880772
  batch 9700 loss = 0.940653
  batch 9800 loss = 0.938953
  batch 9900 loss = 0.913870
  batch 10000 loss = 0.907260
  Total batches: 10000, final loss = 0.907260
Validation loss: 0.918668
Saved BEST checkpoint
Epoch 6
  batch 100 loss = 0.868418
  batch 200 loss = 0.918647
  batch 300 loss = 0.934912
  batch 400 loss = 0.932661
  batch 500 loss = 0.927071
  batch 600 loss = 0.936148
  batch 700 loss = 0.879530
  batch 800 loss = 0.934702
  batch 900 loss = 0.939027
  batch 1000 loss = 0.938723
  batch 1100 loss = 0.884835
  batch 1200 loss = 0.908661
  batch 1300 loss = 0.881383
  batch 1400 loss = 0.891810
  batch 1500 loss = 0.907487
  batch 1600 loss = 0.900250
  batch 1700 loss = 0.890711
  batch 1800 loss = 0.873195
  batch 1900 loss = 0.861465
  batch 2000 loss = 0.860691
  batch 2100 loss = 0.934114
  batch 2200 loss = 0.936801
  batch 2300 loss = 0.888343
  batch 2400 loss = 0.926843
  batch 2500 loss = 0.922736
  batch 2600 loss = 0.873991
  batch 2700 loss = 0.936131
  batch 2800 loss = 0.928249
  batch 2900 loss = 0.882359
  batch 3000 loss = 0.877919
  batch 3100 loss = 0.868584
  batch 3200 loss = 0.935463
  batch 3300 loss = 0.866209
  batch 3400 loss = 0.935864
  batch 3500 loss = 0.937121
  batch 3600 loss = 0.879669
  batch 3700 loss = 0.930785
  batch 3800 loss = 0.861685
  batch 3900 loss = 0.938886
  batch 4000 loss = 0.928385
  batch 4100 loss = 0.871208
  batch 4200 loss = 0.882154
  batch 4300 loss = 0.921911
  batch 4400 loss = 0.873900
  batch 4500 loss = 0.887435
  batch 4600 loss = 0.936008
  batch 4700 loss = 0.880467
  batch 4800 loss = 0.935152
  batch 4900 loss = 0.939519
  batch 5000 loss = 0.935518
  batch 5100 loss = 0.879981
  batch 5200 loss = 0.885268
  batch 5300 loss = 0.933548
  batch 5400 loss = 0.927349
  batch 5500 loss = 0.937863
  batch 5600 loss = 0.862547
  batch 5700 loss = 0.862806
  batch 5800 loss = 0.899739
  batch 5900 loss = 0.870782
  batch 6000 loss = 0.874641
  batch 6100 loss = 0.933977
  batch 6200 loss = 0.932317
  batch 6300 loss = 0.878026
  batch 6400 loss = 0.932423
  batch 6500 loss = 0.932544
  batch 6600 loss = 0.886927
  batch 6700 loss = 0.917951
  batch 6800 loss = 0.921303
  batch 6900 loss = 0.868303
  batch 7000 loss = 0.868147
  batch 7100 loss = 0.871593
  batch 7200 loss = 0.931951
  batch 7300 loss = 0.858501
  batch 7400 loss = 0.933368
  batch 7500 loss = 0.933072
  batch 7600 loss = 0.908421
  batch 7700 loss = 0.868238
  batch 7800 loss = 0.902074
  batch 7900 loss = 0.903240
  batch 8000 loss = 0.877696
  batch 8100 loss = 0.912676
  batch 8200 loss = 0.931416
  batch 8300 loss = 0.903504
  batch 8400 loss = 0.917399
  batch 8500 loss = 0.915820
  batch 8600 loss = 0.881776
  batch 8700 loss = 0.938840
  batch 8800 loss = 0.882287
  batch 8900 loss = 0.938764
  batch 9000 loss = 0.939086
  batch 9100 loss = 0.868114
  batch 9200 loss = 0.885063
  batch 9300 loss = 0.909996
  batch 9400 loss = 0.932656
  batch 9500 loss = 0.923500
  batch 9600 loss = 0.933152
  batch 9700 loss = 0.852445
  batch 9800 loss = 0.937577
  batch 9900 loss = 0.865676
  batch 10000 loss = 0.871861
