Using device: cuda
Train chunks: 80
Val chunks: 10
Test chunks: 10

Using FROBENIUS NORMALIZATION

============================================================
Training MLP Deep (v17 - Frobenius normalized)
Parameters: 2,152,800
Batch size: 64
============================================================

Saved BEST checkpoint
Epoch 3
  chunk 0 final batch loss = 0.820299
  chunk 1 final batch loss = 0.809264
  chunk 2 final batch loss = 0.553299
  chunk 3 final batch loss = 0.395298
  chunk 4 final batch loss = 0.815523
  chunk 5 final batch loss = 0.684386
  chunk 6 final batch loss = 0.316458
  chunk 7 final batch loss = 0.585190
  chunk 8 final batch loss = 0.446128
  chunk 9 final batch loss = 0.751921
  chunk 10 final batch loss = 0.571553
  chunk 11 final batch loss = 0.836750
  chunk 12 final batch loss = 0.796161
  chunk 13 final batch loss = 0.782774
  chunk 14 final batch loss = 0.529708
  chunk 15 final batch loss = 0.407405
  chunk 16 final batch loss = 0.419424
  chunk 17 final batch loss = 0.519736
  chunk 18 final batch loss = 0.719509
  chunk 19 final batch loss = 0.353567
  chunk 20 final batch loss = 0.838942
  chunk 21 final batch loss = 0.717004
  chunk 22 final batch loss = 0.807200
  chunk 23 final batch loss = 0.764232
  chunk 24 final batch loss = 0.803609
  chunk 25 final batch loss = 0.425289
  chunk 26 final batch loss = 0.821342
  chunk 27 final batch loss = 0.268924
  chunk 28 final batch loss = 0.328205
  chunk 29 final batch loss = 0.822573
  chunk 30 final batch loss = 0.391618
  chunk 31 final batch loss = 0.381082
  chunk 32 final batch loss = 0.755803
  chunk 33 final batch loss = 0.330670
  chunk 34 final batch loss = 0.497915
  chunk 35 final batch loss = 0.823498
  chunk 36 final batch loss = 0.764705
  chunk 37 final batch loss = 0.661712
  chunk 38 final batch loss = 0.303830
  chunk 39 final batch loss = 0.828819
  chunk 40 final batch loss = 0.348592
  chunk 41 final batch loss = 0.743774
  chunk 42 final batch loss = 0.335868
  chunk 43 final batch loss = 0.816484
  chunk 44 final batch loss = 0.412632
  chunk 45 final batch loss = 0.812180
  chunk 46 final batch loss = 0.350923
  chunk 47 final batch loss = 0.322312
  chunk 48 final batch loss = 0.358514
  chunk 49 final batch loss = 0.806894
  chunk 50 final batch loss = 0.731823
  chunk 51 final batch loss = 0.405785
  chunk 52 final batch loss = 0.312692
  chunk 53 final batch loss = 0.608526
  chunk 54 final batch loss = 0.440709
  chunk 55 final batch loss = 0.365054
  chunk 56 final batch loss = 0.774563
  chunk 57 final batch loss = 0.802078
  chunk 58 final batch loss = 0.692458
  chunk 59 final batch loss = 0.352389
  chunk 60 final batch loss = 0.750953
  chunk 61 final batch loss = 0.405092
  chunk 62 final batch loss = 0.369534
  chunk 63 final batch loss = 0.801602
  chunk 64 final batch loss = 0.817995
  chunk 65 final batch loss = 0.442892
  chunk 66 final batch loss = 0.692701
  chunk 67 final batch loss = 0.820404
  chunk 68 final batch loss = 0.532048
  chunk 69 final batch loss = 0.734945
  chunk 70 final batch loss = 0.299117
  chunk 71 final batch loss = 0.760043
  chunk 72 final batch loss = 0.792253
  chunk 73 final batch loss = 0.514009
  chunk 74 final batch loss = 0.631332
  chunk 75 final batch loss = 0.323031
  chunk 76 final batch loss = 0.288287
  chunk 77 final batch loss = 0.549832
  chunk 78 final batch loss = 0.808583
  chunk 79 final batch loss = 0.703198
Validation loss: 0.539387
Saved BEST checkpoint
Epoch 4
  chunk 0 final batch loss = 0.818146
  chunk 1 final batch loss = 0.802469
  chunk 2 final batch loss = 0.589961
  chunk 3 final batch loss = 0.379838
  chunk 4 final batch loss = 0.808352
  chunk 5 final batch loss = 0.623075
  chunk 6 final batch loss = 0.303490
  chunk 7 final batch loss = 0.554702
  chunk 8 final batch loss = 0.385350
  chunk 9 final batch loss = 0.686070
  chunk 10 final batch loss = 0.592257
  chunk 11 final batch loss = 0.826022
  chunk 12 final batch loss = 0.779492
  chunk 13 final batch loss = 0.783381
  chunk 14 final batch loss = 0.515547
  chunk 15 final batch loss = 0.417141
  chunk 16 final batch loss = 0.374347
  chunk 17 final batch loss = 0.508605
  chunk 18 final batch loss = 0.746991
  chunk 19 final batch loss = 0.347762
  chunk 20 final batch loss = 0.813734
  chunk 21 final batch loss = 0.726772
  chunk 22 final batch loss = 0.794724
  chunk 23 final batch loss = 0.744657
  chunk 24 final batch loss = 0.814592
  chunk 25 final batch loss = 0.417392
  chunk 26 final batch loss = 0.804359
  chunk 27 final batch loss = 0.285798
  chunk 28 final batch loss = 0.298629
  chunk 29 final batch loss = 0.800363
  chunk 30 final batch loss = 0.394173
  chunk 31 final batch loss = 0.354175
  chunk 32 final batch loss = 0.764973
  chunk 33 final batch loss = 0.293561
  chunk 34 final batch loss = 0.515346
  chunk 35 final batch loss = 0.820056
  chunk 36 final batch loss = 0.795267
  chunk 37 final batch loss = 0.600216
  chunk 38 final batch loss = 0.315258
  chunk 39 final batch loss = 0.822053
  chunk 40 final batch loss = 0.338633
  chunk 41 final batch loss = 0.702584
  chunk 42 final batch loss = 0.313179
  chunk 43 final batch loss = 0.809056
  chunk 44 final batch loss = 0.391489
  chunk 45 final batch loss = 0.797487
  chunk 46 final batch loss = 0.340141
  chunk 47 final batch loss = 0.313950
  chunk 48 final batch loss = 0.372982
  chunk 49 final batch loss = 0.817346
  chunk 50 final batch loss = 0.707319
  chunk 51 final batch loss = 0.356761
  chunk 52 final batch loss = 0.298449
  chunk 53 final batch loss = 0.650445
  chunk 54 final batch loss = 0.437501
  chunk 55 final batch loss = 0.337675
  chunk 56 final batch loss = 0.772179
  chunk 57 final batch loss = 0.785674
  chunk 58 final batch loss = 0.717742
  chunk 59 final batch loss = 0.324163
  chunk 60 final batch loss = 0.696159
  chunk 61 final batch loss = 0.372692
  chunk 62 final batch loss = 0.381891
  chunk 63 final batch loss = 0.807859
  chunk 64 final batch loss = 0.810214
  chunk 65 final batch loss = 0.417614
  chunk 66 final batch loss = 0.733691
  chunk 67 final batch loss = 0.808041
  chunk 68 final batch loss = 0.498863
  chunk 69 final batch loss = 0.694892
  chunk 70 final batch loss = 0.283869
