epoch,chunk_id,batch,train_loss,val_loss
1,0,0,1.0012810117293571,
1,0,1,0.9865451900027583,
1,0,2,0.9748195473282575,
1,0,3,0.955413423399285,
1,0,4,0.9326373788379362,
1,0,5,0.9185896279194996,
1,0,6,0.9024531353247643,
1,0,7,0.8885961900657153,
1,0,8,0.8762524182623639,
1,0,9,0.8713573175436325,
1,0,10,0.8646163470538274,
1,0,11,0.8567133047810291,
1,0,12,0.8495752775408577,
1,0,13,0.8494344182405527,
1,0,14,0.8419520978117463,
1,0,15,0.8381573417810737,
1,1,0,0.8367950016298864,
1,1,1,0.8374365087840765,
1,1,2,0.8344132289098466,
1,1,3,0.8311643100923527,
1,1,4,0.8326703970698209,
1,1,5,0.8312758069384631,
1,1,6,0.8315099699358377,
1,1,7,0.832118938647265,
1,1,8,0.8288819212495698,
1,1,9,0.8291887868551464,
1,1,10,0.827671639423492,
1,1,11,0.8295726170332314,
1,1,12,0.8259969844122717,
1,1,13,0.827472961846432,
1,1,14,0.8253507976799745,
1,1,15,0.8249524334202648,
1,2,0,0.8287774133768666,
1,2,1,0.825421098214925,
1,2,2,0.8267777441164065,
1,2,3,0.8248936448550737,
1,2,4,0.8271816325126917,
1,2,5,0.8260395639596929,
1,2,6,0.8278161022809509,
1,2,7,0.8265963230938476,
1,2,8,0.8252409620763295,
1,2,9,0.8250552091512762,
1,2,10,0.8257128058433099,
1,2,11,0.8253240002822171,
1,2,12,0.8254773443392651,
1,2,13,0.82534762680962,
1,2,14,0.825766309520372,
1,2,15,0.8252822538894202,
1,3,0,0.82593661386275,
1,3,1,0.8244809276583125,
1,3,2,0.8256168657336871,
1,3,3,0.8265134201516654,
1,3,4,0.8243307021065795,
1,3,5,0.8250543365223089,
1,3,6,0.8258799342241844,
1,3,7,0.8251334888673673,
1,3,8,0.8262727002368503,
1,3,9,0.825006330773973,
1,3,10,0.8250760529687547,
1,3,11,0.8251128226423379,
1,3,12,0.8259456579379936,
1,3,13,0.8247132722325774,
1,3,14,0.8242884725276705,
1,3,15,0.8259703346192148,
1,4,0,0.8243635134044398,
1,4,1,0.8243760413016503,
1,4,2,0.8249962552704919,
1,4,3,0.825977603901074,
1,4,4,0.8252057859519486,
1,4,5,0.8258768258719273,
1,4,6,0.8258976542734873,
1,4,7,0.8256384554676672,
1,4,8,0.8253559578596301,
1,4,9,0.8257770420138786,
1,4,10,0.824629408180835,
1,4,11,0.8242687565753772,
1,4,12,0.8253277797703532,
1,4,13,0.8256123836291267,
1,4,14,0.8255350583520895,
1,4,15,0.8247497964040241,
1,5,0,0.8251759092335194,
1,5,1,0.8249730924445537,
1,5,2,0.8245771936698437,
1,5,3,0.8261855346385918,
1,5,4,0.8246957998196979,
1,5,5,0.8247552466792103,
1,5,6,0.823888776660021,
1,5,7,0.8255767154655267,
1,5,8,0.8251556717544055,
1,5,9,0.8253616169182795,
1,5,10,0.8253110427354446,
1,5,11,0.824892629900412,
1,5,12,0.8247556934816216,
1,5,13,0.8242609325285118,
1,5,14,0.8250674088293106,
1,5,15,0.8229503691963996,
1,6,0,0.8238877293340712,
1,6,1,0.8252375064186037,
1,6,2,0.8252495883340376,
1,6,3,0.8254145097477112,
1,6,4,0.8243866832648612,
1,6,5,0.8245650143060825,
1,6,6,0.8250656317835192,
1,6,7,0.8246058890524136,
1,6,8,0.8239991457427209,
1,6,9,0.8245700418260126,
1,6,10,0.8251272801851917,
1,6,11,0.8238300120575504,
1,6,12,0.8243941807816815,
1,6,13,0.8259972418402551,
1,6,14,0.8257003136432286,
1,6,15,0.8251583061934612,
1,7,0,0.8248611492686568,
1,7,1,0.8244411322363049,
1,7,2,0.823979382818512,
1,7,3,0.8241593887028758,
1,7,4,0.825174586302544,
1,7,5,0.8246478630951234,
1,7,6,0.8262198899730149,
1,7,7,0.8253145862310891,
1,7,8,0.8258845514366631,
1,7,9,0.824748455396461,
1,7,10,0.8250368792894412,
1,7,11,0.8245493258136332,
1,7,12,0.8256551668379953,
1,7,13,0.8245090617561768,
1,7,14,0.8239659554235867,
1,7,15,0.8256522436610991,
1,8,0,0.8244354507272054,
1,8,1,0.823787387025125,
1,8,2,0.8233359557018463,
1,8,3,0.8247666567153826,
1,8,4,0.8250406256228708,
1,8,5,0.8247768078446003,
1,8,6,0.8233649716532594,
1,8,7,0.8243535714441963,
1,8,8,0.8237107495994902,
1,8,9,0.8237857229296819,
1,8,10,0.8243150777316433,
1,8,11,0.8247951849421195,
1,8,12,0.8236717464579397,
1,8,13,0.8240434263316743,
1,8,14,0.8232360990165537,
1,8,15,0.8243943417557934,
