noise_type,fid_noisy,fid_corr,delta_fid
bitflip,0.23930426456034185,0.04443602770350376,-0.19486823687329888
depolarizing,0.25053825952112674,0.04324981269633064,-0.20728844702243804
amplitude_damping,0.26721295897848907,0.04280478488904093,-0.22440817484864964
mixed,0.3203510168381035,0.04231877901138221,-0.2780322379618883
phase_damping,0.7302189468592405,0.04316894756006537,-0.6870500000938773
