noise_type,fid_noisy,fid_corr,delta_fid
depolarizing,0.25053825952112674,0.43630671605467797,0.18576845664530992
mixed,0.3203510168381035,0.46516060405410825,0.1448095873184502
bitflip,0.23930426456034185,0.38110843874514105,0.14180417405441403
phase_damping,0.7302189468592405,0.8691166374832392,0.13889769062399865
amplitude_damping,0.26721295897848907,0.3234198973688763,0.056206938264658675
