noise_level,fid_noisy,fid_corr,delta_fid
0.05,0.5880300967693329,0.859889636516571,0.2718595402240753
0.1,0.34948366886749865,0.5779854751564563,0.22850180654600263
0.15,0.2732814490273595,0.38164293293748053,0.10836148385331035
0.2,0.23530514274165035,0.3044532906450331,0.06914814788475633
