epoch,chunk,batch,loss
1,mixed_0.05_part80047.pt,0,1.0514417886734009
1,mixed_0.05_part80048.pt,0,1.047121286392212
1,mixed_0.05_part80049.pt,0,1.0423765182495117
1,mixed_0.05_part80050.pt,0,1.0790135860443115
1,mixed_0.1_part85001.pt,0,1.0652756690979004
1,mixed_0.1_part85002.pt,0,1.071838617324829
1,mixed_0.1_part85003.pt,0,1.062301516532898
1,mixed_0.1_part85004.pt,0,1.039423942565918
1,mixed_0.1_part85005.pt,0,1.0591795444488525
1,mixed_0.1_part85006.pt,0,1.0779635906219482
1,mixed_0.1_part85007.pt,0,1.0345784425735474
1,mixed_0.1_part85008.pt,0,1.0730173587799072
1,mixed_0.1_part85009.pt,0,1.04774808883667
1,mixed_0.1_part85010.pt,0,1.019343614578247
1,mixed_0.1_part85011.pt,0,1.0306081771850586
1,mixed_0.1_part85012.pt,0,1.023895263671875
1,mixed_0.1_part85013.pt,0,1.045617699623108
1,mixed_0.1_part85014.pt,0,1.024369716644287
1,mixed_0.1_part85015.pt,0,1.0299530029296875
1,mixed_0.1_part85016.pt,0,1.0376362800598145
1,mixed_0.1_part85017.pt,0,1.067587971687317
1,mixed_0.1_part85018.pt,0,1.0695079565048218
1,mixed_0.1_part85019.pt,0,1.0594431161880493
1,mixed_0.1_part85020.pt,0,1.0729082822799683
1,mixed_0.1_part85021.pt,0,1.065420150756836
1,mixed_0.1_part85022.pt,0,1.0369577407836914
1,mixed_0.1_part85023.pt,0,1.0227487087249756
1,mixed_0.1_part85024.pt,0,1.0468569993972778
1,mixed_0.1_part85025.pt,0,1.0421966314315796
1,mixed_0.1_part85026.pt,0,1.049973487854004
1,mixed_0.1_part85027.pt,0,1.0923056602478027
1,mixed_0.1_part85028.pt,0,1.0578904151916504
1,mixed_0.1_part85029.pt,0,1.021403193473816
1,mixed_0.1_part85030.pt,0,1.0635302066802979
1,mixed_0.1_part85031.pt,0,1.0422405004501343
1,mixed_0.1_part85032.pt,0,1.0589017868041992
1,mixed_0.1_part85033.pt,0,1.0651001930236816
1,mixed_0.1_part85034.pt,0,1.0393154621124268
1,mixed_0.1_part85035.pt,0,1.0512027740478516
1,mixed_0.1_part85036.pt,0,1.0326343774795532
1,mixed_0.1_part85037.pt,0,1.0809191465377808
1,mixed_0.1_part85038.pt,0,1.0376383066177368
1,mixed_0.1_part85039.pt,0,1.0577242374420166
1,mixed_0.1_part85040.pt,0,1.0419946908950806
1,mixed_0.1_part85041.pt,0,1.0714491605758667
1,mixed_0.1_part85042.pt,0,1.0672317743301392
1,mixed_0.1_part85043.pt,0,1.0187594890594482
1,mixed_0.1_part85044.pt,0,1.0552983283996582
1,mixed_0.1_part85045.pt,0,1.0483019351959229
1,mixed_0.1_part85046.pt,0,1.0168297290802002
1,mixed_0.1_part85047.pt,0,1.040192723274231
1,mixed_0.1_part85048.pt,0,1.0596637725830078
1,mixed_0.1_part85049.pt,0,1.0419813394546509
1,mixed_0.1_part85050.pt,0,1.0383738279342651
1,bitflip_0.2_part75001.pt,0,1.0288859605789185
1,bitflip_0.2_part75002.pt,0,1.0318740606307983
1,bitflip_0.2_part75003.pt,0,1.0837706327438354
1,bitflip_0.2_part75004.pt,0,1.0414650440216064
1,bitflip_0.2_part75005.pt,0,1.0254130363464355
1,bitflip_0.2_part75006.pt,0,1.0503567457199097
1,bitflip_0.2_part75007.pt,0,1.0483530759811401
1,bitflip_0.2_part75008.pt,0,1.0279291868209839
1,bitflip_0.2_part75009.pt,0,1.0461539030075073
1,bitflip_0.2_part75010.pt,0,1.0104697942733765
1,bitflip_0.2_part75011.pt,0,1.063152551651001
1,bitflip_0.2_part75012.pt,0,1.059763789176941
1,bitflip_0.2_part75013.pt,0,1.0493844747543335
1,bitflip_0.2_part75014.pt,0,1.030498743057251
1,bitflip_0.2_part75015.pt,0,1.1253788471221924
1,bitflip_0.2_part75016.pt,0,1.0614492893218994
1,bitflip_0.2_part75017.pt,0,1.0459345579147339
1,bitflip_0.2_part75018.pt,0,1.0542023181915283
1,bitflip_0.2_part75019.pt,0,1.015889286994934
1,bitflip_0.2_part75020.pt,0,1.0258032083511353
1,bitflip_0.2_part75021.pt,0,1.0318247079849243
1,bitflip_0.2_part75022.pt,0,1.03175950050354
1,bitflip_0.2_part75023.pt,0,1.0400962829589844
1,bitflip_0.2_part75024.pt,0,1.0432080030441284
1,bitflip_0.2_part75025.pt,0,1.0363630056381226
1,bitflip_0.2_part75026.pt,0,1.0444145202636719
1,bitflip_0.2_part75027.pt,0,1.0459405183792114
1,bitflip_0.2_part75028.pt,0,1.051343321800232
1,bitflip_0.2_part75029.pt,0,1.0122151374816895
1,bitflip_0.2_part75030.pt,0,1.0461456775665283
1,bitflip_0.2_part75031.pt,0,1.0597306489944458
1,bitflip_0.2_part75032.pt,0,1.0571410655975342
1,bitflip_0.2_part75033.pt,0,1.0415046215057373
1,bitflip_0.2_part75034.pt,0,1.052668571472168
1,bitflip_0.2_part75035.pt,0,1.062362551689148
1,bitflip_0.2_part75036.pt,0,1.0607974529266357
1,bitflip_0.2_part75037.pt,0,1.040022373199463
1,bitflip_0.2_part75038.pt,0,1.0337398052215576
1,bitflip_0.2_part75039.pt,0,1.0373536348342896
1,bitflip_0.2_part75040.pt,0,1.0289251804351807
1,bitflip_0.2_part75041.pt,0,1.0613197088241577
1,bitflip_0.2_part75042.pt,0,1.0364917516708374
1,bitflip_0.2_part75043.pt,0,1.0306726694107056
1,bitflip_0.2_part75044.pt,0,1.0677815675735474
1,bitflip_0.2_part75045.pt,0,1.0218816995620728
1,bitflip_0.2_part75046.pt,0,1.038289189338684
1,bitflip_0.2_part75047.pt,0,1.045828938484192
1,bitflip_0.2_part75048.pt,0,1.0668727159500122
1,bitflip_0.2_part75049.pt,0,1.095741868019104
1,bitflip_0.2_part75050.pt,0,1.0234370231628418
1,depolarizing_0.15_part10001.pt,0,1.0601145029067993
1,depolarizing_0.15_part10002.pt,0,1.0360984802246094
1,depolarizing_0.15_part10003.pt,0,1.053054690361023
1,depolarizing_0.15_part10004.pt,0,1.044339895248413
1,depolarizing_0.15_part10005.pt,0,1.0174041986465454
1,depolarizing_0.15_part10006.pt,0,1.04458487033844
1,depolarizing_0.15_part10007.pt,0,1.0631245374679565
1,depolarizing_0.15_part10008.pt,0,1.0215915441513062
1,depolarizing_0.15_part10009.pt,0,1.0452516078948975
1,depolarizing_0.15_part10010.pt,0,1.0310155153274536
1,depolarizing_0.15_part10011.pt,0,1.0514001846313477
1,depolarizing_0.15_part10012.pt,0,1.06370210647583
1,depolarizing_0.15_part10013.pt,0,1.0626068115234375
1,depolarizing_0.15_part10014.pt,0,1.0239958763122559
1,depolarizing_0.15_part10015.pt,0,1.0559704303741455
1,depolarizing_0.15_part10016.pt,0,1.0612804889678955
1,depolarizing_0.15_part10017.pt,0,1.0409388542175293
1,depolarizing_0.15_part10018.pt,0,1.059828281402588
1,depolarizing_0.15_part10019.pt,0,1.0309158563613892
1,depolarizing_0.15_part10020.pt,0,1.050061821937561
1,depolarizing_0.15_part10021.pt,0,1.05918288230896
1,depolarizing_0.15_part10022.pt,0,1.0148814916610718
1,depolarizing_0.15_part10023.pt,0,1.0369776487350464
1,depolarizing_0.15_part10024.pt,0,1.0679240226745605
1,depolarizing_0.15_part10025.pt,0,1.034663438796997
1,depolarizing_0.15_part10026.pt,0,1.0569273233413696
1,depolarizing_0.15_part10027.pt,0,1.0190292596817017
1,depolarizing_0.15_part10028.pt,0,1.0414621829986572
1,depolarizing_0.15_part10029.pt,0,1.1010565757751465
1,depolarizing_0.15_part10030.pt,0,1.0278799533843994
1,depolarizing_0.15_part10031.pt,0,1.0224859714508057
1,depolarizing_0.15_part10032.pt,0,1.027047038078308
1,depolarizing_0.15_part10033.pt,0,1.026867151260376
1,depolarizing_0.15_part10034.pt,0,1.0556962490081787
1,depolarizing_0.15_part10035.pt,0,1.0108730792999268
1,depolarizing_0.15_part10036.pt,0,1.0223637819290161
1,depolarizing_0.15_part10037.pt,0,1.0691999197006226
1,depolarizing_0.15_part10038.pt,0,1.0470799207687378
1,depolarizing_0.15_part10039.pt,0,1.103803038597107
1,depolarizing_0.15_part10040.pt,0,1.0238163471221924
1,depolarizing_0.15_part10041.pt,0,1.0489351749420166
1,depolarizing_0.15_part10042.pt,0,1.0286781787872314
1,depolarizing_0.15_part10043.pt,0,1.040179967880249
1,depolarizing_0.15_part10044.pt,0,1.0326497554779053
1,depolarizing_0.15_part10045.pt,0,1.063650369644165
1,depolarizing_0.15_part10046.pt,0,1.0684150457382202
1,depolarizing_0.15_part10047.pt,0,1.0348787307739258
1,depolarizing_0.15_part10048.pt,0,1.024576187133789
1,depolarizing_0.15_part10049.pt,0,1.0380759239196777
1,depolarizing_0.15_part10050.pt,0,1.0333830118179321
1,depolarizing_0.1_part10000.pt,0,1.0257116556167603
1,depolarizing_0.1_part5001.pt,0,1.0424410104751587
1,depolarizing_0.1_part5002.pt,0,1.0840461254119873
1,depolarizing_0.1_part5003.pt,0,1.055716872215271
1,depolarizing_0.1_part5004.pt,0,1.0266376733779907
1,depolarizing_0.1_part5005.pt,0,1.0401791334152222
1,depolarizing_0.1_part5006.pt,0,1.0388097763061523
1,depolarizing_0.1_part5007.pt,0,1.0423543453216553
1,depolarizing_0.1_part5008.pt,0,1.04227614402771
1,depolarizing_0.1_part5009.pt,0,1.0412966012954712
1,depolarizing_0.1_part5010.pt,0,1.0231046676635742
1,depolarizing_0.1_part5011.pt,0,1.0387096405029297
