noise_type,fid_noisy,fid_corr,delta_fid
depolarizing,0.25053825952112674,0.5062876551598311,0.2557493966072798
bitflip,0.23930426456034185,0.42982593562453986,0.19052167125046254
phase_damping,0.7302189468592405,0.9052925880253315,0.17507364116609098
mixed,0.3203510168381035,0.4916629913682118,0.17131197419017552
amplitude_damping,0.26721295897848907,0.3218949988915119,0.05468203992117196
