epoch,batch,loss
1,320,0.827443715744826
2,320,0.8195126069285191
3,320,0.797121207521558
4,320,0.7367247830790562
5,320,0.6812087217046766
6,320,0.6532051861003734
7,320,0.636877178816018
8,320,0.6269333142183664
9,320,0.6211894070898661
10,320,0.6147343681339057
11,320,0.6084312659626008
12,320,0.6062775705847018
13,320,0.6034315172926805
14,320,0.6000081244446455
15,320,0.5973457042694666
16,320,0.5949606170856184
17,320,0.5940324140998816
18,320,0.5920463033861046
19,320,0.5901501719189105
20,320,0.587329377017444
21,320,0.5865493020131294
22,320,0.5842985542604073
23,320,0.5824753781532472
24,320,0.5819479783892245
25,320,0.5816202571344165
26,320,0.5778584065671505
27,320,0.5767401819688933
28,320,0.5764256707676343
29,320,0.5748808480285938
30,320,0.5732082370942292
31,320,0.5728689719812115
32,320,0.5728622390681226
33,320,0.5699992274497825
34,320,0.5692433933612469
35,320,0.5674117729994601
36,320,0.567474182575976
37,320,0.5667614067941769
38,320,0.5655087535786842
39,320,0.5662225057761265
40,320,0.5641295180471233
41,320,0.5637041018217042
42,320,0.5627576261188605
43,320,0.5621097743927417
44,320,0.5624243291726345
45,320,0.5606689128409789
46,320,0.5621805315506182
47,320,0.5591974851526375
48,320,0.560943281757081
49,320,0.5592014228826885
50,320,0.5592081077261152
51,320,0.5558433104911326
52,320,0.5595437701586813
53,320,0.5558239464253885
54,320,0.5562957637714414
55,320,0.5553961686469281
56,320,0.5543820990874899
57,320,0.5557167669453056
58,320,0.5550486634729616
59,320,0.5530084176197166
60,320,0.5524563328513347
61,320,0.5512288691007294
62,320,0.5480061348142807
63,320,0.5444125552453257
64,320,0.5410054473158744
65,320,0.5387222641971195
66,320,0.5378076412144561
67,320,0.5357014067963334
68,320,0.5359167788454761
69,320,0.5354282653532726
70,320,0.5326114579635297
71,320,0.5325380645281712
72,320,0.5309984813182176
73,320,0.5264085777772631
74,320,0.5258594235268375
75,320,0.5218165001698356
76,320,0.5173150278561844
77,320,0.5161691513685291
78,320,0.5114644955461525
79,320,0.5031980467377498
80,320,0.5016674636242451
81,320,0.500119140808417
82,320,0.4977923905848193
83,320,0.49641442881499576
84,320,0.49328049599878987
85,320,0.48989374896078275
86,320,0.4903046580551019
87,320,0.48763892610750526
88,320,0.48506337127962224
89,320,0.48428685339618005
90,320,0.4828901646727595
91,320,0.47954536271305354
92,320,0.47921518496829396
93,320,0.47642724910081513
94,320,0.47370984026259555
95,320,0.4750102948970378
96,320,0.4754556428326951
97,320,0.4727788224510353
98,320,0.4713901327438436
99,320,0.4698887684514238
100,320,0.47050157915338653
