epoch,current_mb,peak_mb
1,64.860672,3204.173824
2,64.860672,3204.173824
3,64.860672,3204.173824
4,64.860672,3204.173824
5,64.860672,3204.173824
6,64.860672,3204.173824
7,64.860672,3204.173824
8,64.860672,3204.173824
9,64.860672,3204.173824
10,64.860672,3204.173824
11,64.860672,3204.173824
12,64.860672,3204.173824
13,64.860672,3204.173824
14,64.860672,3204.173824
15,64.860672,3204.173824
16,64.860672,3204.173824
17,64.860672,3204.173824
18,64.860672,3204.173824
19,64.860672,3204.173824
20,64.860672,3204.173824
21,64.860672,3204.173824
22,64.860672,3204.173824
23,64.860672,3204.173824
24,64.860672,3204.173824
25,64.860672,3204.173824
26,64.860672,3204.173824
27,64.860672,3204.173824
28,64.860672,3204.173824
29,64.860672,3204.173824
30,64.860672,3204.173824
31,64.860672,3204.173824
32,64.860672,3204.173824
33,64.860672,3204.173824
34,64.860672,3204.173824
35,64.860672,3204.173824
36,64.860672,3204.173824
37,64.860672,3204.173824
38,64.860672,3204.173824
39,64.860672,3204.173824
40,64.860672,3204.173824
41,64.860672,3204.173824
42,64.860672,3204.173824
43,64.860672,3204.173824
44,64.860672,3204.173824
45,64.860672,3204.173824
46,64.860672,3204.173824
47,64.860672,3204.173824
48,64.860672,3204.173824
49,64.860672,3204.173824
50,64.860672,3204.173824
51,64.860672,3204.173824
52,64.860672,3204.173824
53,64.860672,3204.173824
54,64.860672,3204.173824
55,64.860672,3204.173824
56,64.860672,3204.173824
57,64.860672,3204.173824
58,64.860672,3204.173824
59,64.860672,3204.173824
60,64.860672,3204.173824
61,64.860672,3204.173824
62,64.860672,3204.173824
63,64.860672,3204.173824
64,64.860672,3204.173824
65,64.860672,3204.173824
66,64.860672,3204.173824
67,64.860672,3204.173824
68,64.860672,3204.173824
69,64.860672,3204.173824
70,64.860672,3204.173824
71,64.860672,3204.173824
72,64.860672,3204.173824
73,64.860672,3204.173824
74,64.860672,3204.173824
75,64.860672,3204.173824
76,64.860672,3204.173824
77,64.860672,3204.173824
78,64.860672,3204.173824
79,64.860672,3204.173824
80,64.860672,3204.173824
81,64.860672,3204.173824
82,64.860672,3204.173824
83,64.860672,3204.173824
84,64.860672,3204.173824
85,64.860672,3204.173824
86,64.860672,3204.173824
87,64.860672,3204.173824
88,64.860672,3204.173824
89,64.860672,3204.173824
90,64.860672,3204.173824
91,64.860672,3204.173824
92,64.860672,3204.173824
93,64.860672,3204.173824
94,64.860672,3204.173824
95,64.860672,3204.173824
96,64.860672,3204.173824
97,64.860672,3204.173824
98,64.860672,3204.173824
99,64.860672,3204.173824
100,64.860672,3204.173824
