epoch,current_mb,peak_mb
1,472.295936,5060.561408
2,472.295936,5060.561408
3,472.295936,5060.561408
4,472.295936,5060.561408
5,472.295936,5060.561408
6,472.295936,5060.561408
7,472.295936,5060.561408
8,472.295936,5060.561408
9,472.295936,5060.561408
10,472.295936,5060.561408
11,472.295936,5060.561408
12,472.295936,5060.561408
13,472.295936,5060.561408
14,472.295936,5060.561408
15,472.295936,5060.561408
16,472.295936,5060.561408
17,472.295936,5060.561408
18,472.295936,5060.561408
19,472.295936,5060.561408
20,472.295936,5060.561408
21,472.295936,5060.561408
22,472.295936,5060.561408
23,472.295936,5060.561408
24,472.295936,5060.561408
25,472.295936,5060.561408
26,472.295936,5060.561408
27,472.295936,5060.561408
28,472.295936,5060.561408
29,472.295936,5060.561408
30,472.295936,5060.561408
31,472.295936,5060.561408
32,472.295936,5060.561408
33,472.295936,5060.561408
34,472.295936,5060.561408
35,472.295936,5060.561408
36,472.295936,5060.561408
37,472.295936,5060.561408
38,472.295936,5060.561408
39,472.295936,5060.561408
40,472.295936,5060.561408
41,472.295936,5060.561408
42,472.295936,5060.561408
43,472.295936,5060.561408
44,472.295936,5060.561408
45,472.295936,5060.561408
46,472.295936,5060.561408
47,472.295936,5060.561408
48,472.295936,5060.561408
49,472.295936,5060.561408
50,472.295936,5060.561408
51,472.295936,5060.561408
52,472.295936,5060.561408
53,472.295936,5060.561408
54,472.295936,5060.561408
55,472.295936,5060.561408
56,472.295936,5060.561408
57,472.295936,5060.561408
58,472.295936,5060.561408
59,472.295936,5060.561408
60,472.295936,5060.561408
61,472.295936,5060.561408
62,472.295936,5060.561408
63,472.295936,5060.561408
64,472.295936,5060.561408
65,472.295936,5060.561408
66,472.295936,5060.561408
67,472.295936,5060.561408
68,472.295936,5060.561408
69,472.295936,5060.561408
70,472.295936,5060.561408
71,472.295936,5060.561408
72,472.295936,5060.561408
73,472.295936,5060.561408
74,472.295936,5060.561408
75,472.295936,5060.561408
76,472.295936,5060.561408
77,472.295936,5060.561408
78,472.295936,5060.561408
79,472.295936,5060.561408
80,472.295936,5060.561408
81,472.295936,5060.561408
82,472.295936,5060.561408
83,472.295936,5060.561408
84,472.295936,5060.561408
85,472.295936,5060.561408
86,472.295936,5060.561408
87,472.295936,5060.561408
88,472.295936,5060.561408
89,472.295936,5060.561408
90,472.295936,5060.561408
91,472.295936,5060.561408
92,472.295936,5060.561408
93,472.295936,5060.561408
94,472.295936,5060.561408
95,472.295936,5060.561408
96,472.295936,5060.561408
97,472.295936,5060.561408
98,472.295936,5060.561408
99,472.295936,5060.561408
100,472.295936,5060.561408
